COMMUNICATIONS_AND_IT_EXPENSE,CUSTOMER_ID,END_DATE,INTEREST_EXPENSE,INTEREST_INCOME,LAST_CUSTOMER_REPLIED_TO_OFFER_INDICATOR,LAST_CUSTOMER_REPLY_TIME,LAST_PRODUCT_OFFER_CAMPAIGN,LAST_PRODUCT_OFFER_DATE,PRODUCT_ID,PRODUCT_OFFERED_INDICATOR,PRODUCT_OWNED_INDICATOR,SENTIMENT_SCORE,START_DATE,STATUS2,STATUS_DATE2,STATUS_REASON
987.1920885,1016,31/12/2017,512.334236,11.48522158,FALSE,0,,04/09/2018,Brokerage,TRUE,FALSE,3,01/12/2017,Inactive,22/12/2017,Inactive Client
443.1467375,1016,31/12/2017,931.6520495,796.3462605,FALSE,0,,06/03/2018,Savings,TRUE,FALSE,1,01/12/2017,Inactive,22/12/2017,Inactive Client
616.5578284,1016,31/12/2017,250.890451,982.5637766,TRUE,14,More Generous Investing,22/12/2017,FinancialPlan,TRUE,TRUE,4,01/12/2017,Active,22/12/2017,Active Client
855.8330241,1016,31/12/2017,436.9853346,482.5575415,FALSE,0,,11/04/2018,RetirementBrokerage,TRUE,FALSE,4,01/12/2017,Inactive,22/12/2017,Inactive Client
650.3356111,1016,31/12/2017,20.47661876,532.1456102,TRUE,87,Wealth Comes in Many Forms,22/12/2017,RetirementPlan,TRUE,TRUE,0,01/12/2017,Active,22/12/2017,Active Client
289.6584252,1016,31/12/2017,937.5993487,608.0217854,TRUE,148,,09/02/2018,ManagedPortfolio,TRUE,FALSE,3,01/12/2017,Inactive,22/12/2017,Inactive Client
219.7436778,1016,31/12/2017,630.708273,500.3363006,TRUE,97,,25/01/2018,RetirementBasic,TRUE,FALSE,5,01/12/2017,Inactive,22/12/2017,Inactive Client
959.9214103,1017,28/02/2018,502.9482669,30.74382026,TRUE,16,Now Prove It,04/02/2016,Savings,TRUE,TRUE,4,01/02/2018,Active,03/02/2018,Active Client
794.6902731,1017,28/02/2018,601.893813,427.0423765,TRUE,47,Now Prove It,04/02/2016,RetirementBasic,TRUE,TRUE,5,01/02/2018,Active,03/02/2018,Active Client
66.74873951,1018,31/10/2017,366.2650897,160.3959408,FALSE,0,,05/02/2018,Cash,TRUE,FALSE,0,01/10/2017,Inactive,17/10/2017,Inactive Client
798.237107,1018,31/10/2017,145.7521542,858.6627061,FALSE,0,,16/12/2017,Brokerage,TRUE,FALSE,0,01/10/2017,Inactive,17/10/2017,Inactive Client
523.7719142,1018,31/10/2017,62.18764688,175.5844409,TRUE,128,Wealth Comes in Many Forms,17/10/2017,Savings,TRUE,TRUE,4,01/10/2017,Active,17/10/2017,Active Client
32.90108888,1018,31/10/2017,612.9491772,95.09268315,FALSE,0,,05/01/2018,Education,TRUE,FALSE,0,01/10/2017,Inactive,17/10/2017,Inactive Client
13.32834558,1018,31/10/2017,893.1881209,415.1356749,TRUE,42,More Generous Investing,17/10/2017,ManagedPortfolio,TRUE,TRUE,5,01/10/2017,Active,17/10/2017,Active Client
270.2740518,1018,31/10/2017,427.010245,41.51488312,FALSE,0,,10/06/2018,RetirementBasic,TRUE,FALSE,5,01/10/2017,Inactive,17/10/2017,Inactive Client
589.0137524,1019,29/02/2016,317.9808982,978.4052574,TRUE,45,Now Prove It,28/02/2016,RetirementBrokerage,TRUE,TRUE,0,01/02/2016,Active,28/02/2016,Active Client
372.3257743,1019,29/02/2016,320.8829508,183.910455,FALSE,0,,29/04/2017,RetirementPlan,TRUE,FALSE,2,01/02/2016,Inactive,28/02/2016,Inactive Client
263.6912177,1020,30/09/2018,864.4936976,318.2550016,TRUE,18,More Generous Investing,14/09/2018,Cash,TRUE,TRUE,0,01/09/2018,Active,14/09/2018,Active Client
310.0641516,1020,30/09/2018,929.0668391,797.1684907,FALSE,0,,28/09/2018,Brokerage,TRUE,FALSE,2,01/09/2018,Inactive,14/09/2018,Inactive Client
580.0833677,1020,30/09/2018,792.9096576,893.1258943,TRUE,94,A Loan With A View,14/09/2018,Savings,TRUE,TRUE,5,01/09/2018,Active,14/09/2018,Active Client
689.226178,1020,30/09/2018,154.132544,376.0011631,TRUE,105,The Best Things in Life Are Not Fees,14/09/2018,Education,TRUE,TRUE,1,01/09/2018,Active,14/09/2018,Active Client
602.849117,1020,30/09/2018,944.3462844,373.2354747,TRUE,82,,18/09/2018,FinancialPlan,TRUE,FALSE,0,01/09/2018,Inactive,14/09/2018,Inactive Client
496.7858714,1020,30/09/2018,75.15728299,46.0667172,FALSE,0,,15/09/2018,RetirementBrokerage,TRUE,FALSE,5,01/09/2018,Inactive,14/09/2018,Inactive Client
841.7299246,1021,31/12/2017,42.61359204,179.7853192,TRUE,103,Now Prove It,22/12/2017,FinancialPlan,TRUE,TRUE,2,01/12/2017,Active,22/12/2017,Active Client
601.1855165,1021,31/12/2017,680.6349868,978.6713203,TRUE,98,Now Prove It,22/12/2017,RetirementBrokerage,TRUE,TRUE,3,01/12/2017,Active,22/12/2017,Active Client
741.2295447,1021,31/12/2017,535.9629178,92.19078364,TRUE,71,Now Prove It,22/12/2017,RetirementPlan,TRUE,TRUE,2,01/12/2017,Active,22/12/2017,Active Client
191.7421808,1021,31/12/2017,542.6460792,988.527796,FALSE,0,,13/03/2018,ManagedPortfolio,TRUE,FALSE,0,01/12/2017,Inactive,22/12/2017,Inactive Client
30.06330546,1021,31/12/2017,563.0098315,106.8275361,TRUE,148,,15/01/2018,RetirementBasic,TRUE,FALSE,5,01/12/2017,Inactive,22/12/2017,Inactive Client
785.3102034,1022,30/09/2017,403.4839425,727.9011571,TRUE,131,,09/09/2018,Cash,TRUE,FALSE,5,01/09/2017,Inactive,03/09/2017,Inactive Client
881.2292092,1022,30/09/2017,120.8517532,325.5513553,TRUE,10,More Generous Investing,03/09/2017,RetirementBrokerage,TRUE,TRUE,5,01/09/2017,Active,03/09/2017,Active Client
511.1034193,1022,30/09/2017,561.4137732,864.005595,TRUE,123,Wealth Comes in Many Forms,03/09/2017,RetirementPlan,TRUE,TRUE,4,01/09/2017,Active,03/09/2017,Active Client
927.2391182,1022,30/09/2017,247.3528767,984.3842324,TRUE,4,More Generous Investing,03/09/2017,RetirementBasic,TRUE,TRUE,1,01/09/2017,Active,03/09/2017,Active Client
703.6968973,1023,30/04/2016,14.0256428,89.7073568,FALSE,0,,19/09/2018,Cash,TRUE,FALSE,0,01/04/2016,Inactive,24/04/2016,Inactive Client
73.2245418,1023,30/04/2016,400.9682896,862.9836271,TRUE,25,Wealth Comes in Many Forms,24/04/2016,Brokerage,TRUE,TRUE,5,01/04/2016,Active,24/04/2016,Active Client
606.757556,1023,30/04/2016,401.7594304,639.2706478,TRUE,61,Wealth Comes in Many Forms,24/04/2016,Savings,TRUE,TRUE,3,01/04/2016,Active,24/04/2016,Active Client
182.7063971,1023,30/04/2016,13.98169974,38.04426988,FALSE,0,,31/07/2017,Education,TRUE,FALSE,4,01/04/2016,Inactive,24/04/2016,Inactive Client
786.9226582,1023,30/04/2016,875.4319917,803.3320551,TRUE,24,More Generous Investing,24/04/2016,FinancialPlan,TRUE,TRUE,0,01/04/2016,Active,24/04/2016,Active Client
921.7157943,1023,30/04/2016,166.1188318,829.064187,TRUE,130,,01/12/2017,RetirementBrokerage,TRUE,FALSE,2,01/04/2016,Inactive,24/04/2016,Inactive Client
605.7728518,1023,30/04/2016,672.2012913,596.3792817,FALSE,0,,08/09/2017,RetirementPlan,TRUE,FALSE,2,01/04/2016,Inactive,24/04/2016,Inactive Client
39.69950061,1023,30/04/2016,689.0665752,918.9279119,TRUE,121,,14/09/2017,ManagedPortfolio,TRUE,FALSE,1,01/04/2016,Inactive,24/04/2016,Inactive Client
64.59153378,1024,31/07/2016,104.8802361,764.8755251,TRUE,13,More Generous Investing,23/07/2016,Savings,TRUE,TRUE,3,01/07/2016,Active,23/07/2016,Active Client
689.2817179,1024,31/07/2016,41.59422605,368.0660271,TRUE,75,Now Prove It,23/07/2016,Education,TRUE,TRUE,0,01/07/2016,Active,23/07/2016,Active Client
794.2979508,1024,31/07/2016,317.8702923,154.7936024,TRUE,97,Wealth Comes in Many Forms,23/07/2016,FinancialPlan,TRUE,TRUE,4,01/07/2016,Active,23/07/2016,Active Client
701.8477868,1024,31/07/2016,950.9897065,675.4325145,TRUE,48,Now Prove It,23/07/2016,RetirementBasic,TRUE,TRUE,0,01/07/2016,Active,23/07/2016,Active Client
348.1446514,1025,31/08/2016,16.75391213,214.2165434,TRUE,137,,27/07/2017,Cash,TRUE,FALSE,1,01/08/2016,Inactive,24/08/2016,Inactive Client
849.1809199,1025,31/08/2016,749.5417025,752.0569915,FALSE,0,,20/06/2018,Brokerage,TRUE,FALSE,1,01/08/2016,Inactive,24/08/2016,Inactive Client
649.1824908,1025,31/08/2016,416.6425058,242.3470281,FALSE,0,,17/02/2017,Savings,TRUE,FALSE,5,01/08/2016,Inactive,24/08/2016,Inactive Client
764.294728,1025,31/08/2016,882.1605654,447.939333,FALSE,0,,23/11/2016,Education,TRUE,FALSE,0,01/08/2016,Inactive,24/08/2016,Inactive Client
357.3341638,1025,31/08/2016,60.88936265,566.3071067,TRUE,45,Now Prove It,24/08/2016,FinancialPlan,TRUE,TRUE,1,01/08/2016,Active,24/08/2016,Active Client
518.9642586,1025,31/08/2016,609.4029111,185.4589499,FALSE,0,,17/12/2016,RetirementBrokerage,TRUE,FALSE,2,01/08/2016,Inactive,24/08/2016,Inactive Client
74.83229501,1025,31/08/2016,863.9147445,623.3708984,TRUE,14,More Generous Investing,24/08/2016,RetirementPlan,TRUE,TRUE,4,01/08/2016,Active,24/08/2016,Active Client
438.4286003,1025,31/08/2016,265.1629665,56.4122582,TRUE,47,Wealth Comes in Many Forms,24/08/2016,ManagedPortfolio,TRUE,TRUE,2,01/08/2016,Active,24/08/2016,Active Client
728.5442684,1025,31/08/2016,517.3530971,963.0514835,TRUE,147,,29/08/2017,RetirementBasic,TRUE,FALSE,4,01/08/2016,Inactive,24/08/2016,Inactive Client
258.9874808,1026,31/03/2018,979.0402685,639.0731734,FALSE,0,,13/09/2016,Cash,TRUE,FALSE,0,01/03/2018,Inactive,07/03/2018,Inactive Client
512.3534317,1026,31/03/2018,338.9629669,243.1869719,FALSE,0,,24/10/2016,Brokerage,TRUE,FALSE,2,01/03/2018,Inactive,07/03/2018,Inactive Client
811.1271782,1026,31/03/2018,899.073446,246.8618531,TRUE,142,,23/10/2016,Savings,TRUE,FALSE,2,01/03/2018,Inactive,07/03/2018,Inactive Client
799.8518048,1026,31/03/2018,787.3030763,423.9072292,FALSE,0,,26/08/2016,Education,TRUE,FALSE,4,01/03/2018,Inactive,07/03/2018,Inactive Client
545.3084766,1026,31/03/2018,11.11709614,590.9687353,FALSE,0,,06/07/2016,FinancialPlan,TRUE,FALSE,4,01/03/2018,Inactive,07/03/2018,Inactive Client
588.6616015,1026,31/03/2018,705.209536,650.7474987,TRUE,48,Now Prove It,07/03/2016,RetirementBrokerage,TRUE,TRUE,4,01/03/2018,Active,07/03/2018,Active Client
844.635203,1026,31/03/2018,779.6219035,992.5072556,TRUE,14,More Generous Investing,07/03/2016,RetirementPlan,TRUE,TRUE,3,01/03/2018,Active,07/03/2018,Active Client
470.6617422,1026,31/03/2018,676.4811382,369.2029332,TRUE,83,Now Prove It,07/03/2016,RetirementBasic,TRUE,TRUE,0,01/03/2018,Active,07/03/2018,Active Client
263.366084,1027,30/09/2016,989.0929627,210.0019977,FALSE,0,,08/08/2018,Cash,TRUE,FALSE,0,01/09/2016,Inactive,22/09/2016,Inactive Client
225.36347,1027,30/09/2016,665.9509936,284.1632737,TRUE,4,More Generous Investing,22/09/2016,RetirementBrokerage,TRUE,TRUE,5,01/09/2016,Active,22/09/2016,Active Client
914.4648321,1027,30/09/2016,488.1718168,862.2613788,TRUE,147,The Best Things in Life Are Not Fees,22/09/2016,RetirementPlan,TRUE,TRUE,3,01/09/2016,Active,22/09/2016,Active Client
70.95376019,1027,30/09/2016,18.14551123,295.9717535,TRUE,28,More Generous Investing,22/09/2016,RetirementBasic,TRUE,TRUE,1,01/09/2016,Active,22/09/2016,Active Client
432.9192688,1028,30/06/2017,183.0274947,153.494434,TRUE,9,More Generous Investing,04/06/2017,RetirementBrokerage,TRUE,TRUE,3,01/06/2017,Active,04/06/2017,Active Client
739.6913582,1028,30/06/2017,797.9523078,94.47262799,TRUE,69,Now Prove It,04/06/2017,RetirementPlan,TRUE,TRUE,0,01/06/2017,Active,04/06/2017,Active Client
584.0446244,1028,30/06/2017,191.1649126,19.01920821,TRUE,83,More Generous Investing,04/06/2017,RetirementBasic,TRUE,TRUE,4,01/06/2017,Active,04/06/2017,Active Client
330.8416945,1029,31/08/2016,291.9236497,769.6511028,FALSE,0,,08/02/2018,Cash,TRUE,FALSE,4,01/08/2016,Inactive,28/08/2016,Inactive Client
435.1720456,1029,31/08/2016,485.6721834,961.665704,TRUE,27,Now Prove It,28/08/2016,FinancialPlan,TRUE,TRUE,2,01/08/2016,Active,28/08/2016,Active Client
493.257444,1029,31/08/2016,581.883475,878.4489114,TRUE,108,The Best Things in Life Are Not Fees,28/08/2016,RetirementBrokerage,TRUE,TRUE,1,01/08/2016,Active,28/08/2016,Active Client
569.0859459,1029,31/08/2016,340.0225399,665.7444768,TRUE,37,The Best Things in Life Are Not Fees,28/08/2016,RetirementPlan,TRUE,TRUE,1,01/08/2016,Active,28/08/2016,Active Client
491.6507199,1029,31/08/2016,970.4475509,230.9241022,FALSE,0,,05/11/2017,ManagedPortfolio,TRUE,FALSE,1,01/08/2016,Inactive,28/08/2016,Inactive Client
759.6866351,1029,31/08/2016,859.8103918,438.7443641,TRUE,133,,23/08/2017,RetirementBasic,TRUE,FALSE,0,01/08/2016,Inactive,28/08/2016,Inactive Client
593.1599824,1030,30/06/2017,967.2267506,264.191209,TRUE,43,More Generous Investing,16/06/2017,Savings,TRUE,TRUE,5,01/06/2017,Active,16/06/2017,Active Client
124.0983062,1030,30/06/2017,671.5084254,684.5195677,FALSE,0,,25/03/2018,Education,TRUE,FALSE,0,01/06/2017,Inactive,16/06/2017,Inactive Client
296.2232079,1031,31/12/2016,112.9919325,362.1846104,TRUE,32,More Generous Investing,22/12/2016,FinancialPlan,TRUE,TRUE,0,01/12/2016,Active,22/12/2016,Active Client
180.2510667,1031,31/12/2016,321.0216506,731.2664183,TRUE,60,Now Prove It,22/12/2016,RetirementBrokerage,TRUE,TRUE,1,01/12/2016,Active,22/12/2016,Active Client
850.4084196,1031,31/12/2016,431.2316444,345.2652684,TRUE,12,Now Prove It,22/12/2016,RetirementPlan,TRUE,TRUE,0,01/12/2016,Active,22/12/2016,Active Client
176.3247194,1032,31/07/2018,974.6087813,147.253628,TRUE,126,Now Prove It,24/07/2018,RetirementBrokerage,TRUE,TRUE,0,01/07/2018,Active,24/07/2018,Active Client
63.86194608,1032,31/07/2018,837.2962317,718.158325,TRUE,121,A Loan With A View,24/07/2018,RetirementPlan,TRUE,TRUE,5,01/07/2018,Active,24/07/2018,Active Client
542.9526269,1032,31/07/2018,428.3501323,438.7627653,FALSE,0,,08/08/2018,ManagedPortfolio,TRUE,FALSE,1,01/07/2018,Inactive,24/07/2018,Inactive Client
740.5511336,1032,31/07/2018,146.6177227,51.92915537,TRUE,66,Wealth Comes in Many Forms,24/07/2018,RetirementBasic,TRUE,TRUE,5,01/07/2018,Active,24/07/2018,Active Client
722.2450606,1033,31/03/2017,305.9965037,623.9716773,TRUE,139,,11/03/2018,Cash,TRUE,FALSE,1,01/03/2017,Inactive,13/03/2017,Inactive Client
202.293004,1033,31/03/2017,623.4960772,197.9224922,FALSE,0,,22/04/2017,Brokerage,TRUE,FALSE,3,01/03/2017,Inactive,13/03/2017,Inactive Client
124.8917551,1033,31/03/2017,79.79927239,766.1266938,FALSE,0,,06/06/2017,Savings,TRUE,FALSE,3,01/03/2017,Inactive,13/03/2017,Inactive Client
