ACQUISITION_COST,AGE_RANGE,ANNUAL_INCOME,BIRTH_YEAR,CONTACT_PREFERENCE,CREDIT_AUTHORITY_LEVEL,CREDIT_SCORE,CURRENT_EMPLOYMENT_START_DATE,CUSTOMER_BEHAVIOR,CUSTOMER_ID,DATE_FIRST_ACCOUNT_OPENED,DATE_LAST_ACCOUNT_OPENED,EDUCATION_LEVEL,EFFECTIVE_DATE,EMPLOYMENT_STATUS,FAMILY_SIZE,GENDER,HEAD_OF_HOUSEHOLD_INDICATOR,HOME_OWNER_INDICATOR,IMPORTANCE_LEVEL_CODE,INTERNET_BANKING_INDICATOR,LOYALTY_RATING_CODE,MARITAL_STATUS,MARKET_GROUP,MONTHLY_HOUSING_COST,MONTHLY_NET_INCOME,NUMBER_OF_DEPENDENT_CHILDREN,PREFERRED_COMMUNICATION_FORM,PRIMARY_SPOKEN_LANGUAGE,PRIMARY_WRITTEN_LANGUAGE,PROFESSION,PURSUIT,REFERRALS_VALUE_CODE,RELATIONSHIP_START_DATE,RETIREMENT_AGE,SATISFACTION_RATING_FROM_SURVEY,SPECIAL_TERMS_INDICATOR,STATUS,STATUS_DATE,WALLET_SHARE_PERCENTAGE,ASSETS,FUNDS_UNDER_MANAGEMENT,TOP_SPENDING_CATEGORY
7.49254423,65 and over,121967,1950,mail,Very High,762.9507957,15/07/2015,Aggressive,1127,28/08/2017,28/08/2017,PhD,28/08/2017,Homemaker,1,Female,0,0,High priority,0,99616,Single,Spending,1829.505,6098.35,0,In Person,English,English,Professor,Increase Net Worth,Very Low,28/08/2017,67,very satisfied,1,Active,28/08/2017,37,201002,750000,Transportaion
45.08000671,40 to 55,86596,1974,email,Medium,650.3812433,06/10/2015,Moderate,1395,14/09/2018,14/09/2018,College,14/09/2018,Employed,4,Male,1,1,High priority,1,62860,Married,Accumulating,1298.94,4329.8,2,Email,Arabic,Arabic,Accountant,Estate Planning,Very High,14/09/2018,67,satisfied,0,Active,14/09/2018,41,128454,1250000,Food
87.63777103,30 to 40,105137,1983,email,Medium,670.8466522,29/10/2016,Moderate,1460,28/08/2018,28/08/2018,High School,28/08/2018,Employed,3,Male,0,1,Low priority,0,67909,Married,Accumulating,1577.055,5256.85,1,Email,English,English,Physician,Capital Acquisition,Medium,28/08/2018,67,satisfied,1,Active,28/08/2018,10,141717,1250000,Recreation
4.972959582,65 and over,131141,1937,mail,Very High,717.8616823,10/02/2017,Aggressive,1483,06/08/2018,06/08/2018,Professional,06/08/2018,Selfemployed,1,Female,1,0,Normal priority,0,46436,Divorced,Gifting,1967.115,6557.05,0,In Person,English,English,Software Developer,Retirement Planning,Very High,06/08/2018,67,very satisfied,0,Active,06/08/2018,69,230652,1250000,Giving
31.00861209,65 and over,135340,1937,mail,Very High,701.7763306,06/12/2014,Aggressive,1507,23/12/2016,23/12/2016,Professional,23/12/2016,Selfemployed,1,Female,0,0,Normal priority,1,128928,Divorced,Gifting,2030.1,6767,0,In Person,English,English,Software Developer,Retirement Planning,Very High,23/12/2016,67,very satisfied,1,Active,23/12/2016,59,238582,1250000,Giving
87.47415892,40 to 55,83165,1973,mail,Medium,753.0747283,10/04/2016,Moderate,1522,03/09/2017,03/09/2017,University,03/09/2017,Employed,4,Male,0,1,High priority,1,79401,Married,Accumulating,1247.475,4158.25,2,Email,English,English,Accountant,Estate Planning,Very High,03/09/2017,67,satisfied,0,Active,03/09/2017,35,129610,1250000,Food
46.57197393,40 to 55,95047,1970,phone,Low,725.3334774,21/12/2015,Growth,1721,20/07/2018,20/07/2018,University,20/07/2018,Employed,4,Male,1,1,High priority,1,75424,Married,Accumulating,1425.705,4752.35,2,Email,English,English,Accountant,Estate Planning,Medium,20/07/2018,67,satisfied,0,Active,20/07/2018,72,145088,150000,Personal
39.49172582,65 and over,97325,1936,mail,Very Low,761.8636997,21/11/2015,Growth,1896,28/07/2016,28/07/2016,Professional,28/07/2016,Selfemployed,1,Female,1,1,Normal priority,1,87538,Divorced,Accumulating,1459.875,4866.25,0,In Person,English,English,Professor,Increase Net Worth,Very High,28/07/2016,67,very satisfied,1,Active,28/07/2016,66,185972,80000,Uncategorized
74.55407223,40 to 55,77931.25,1963,phone,Medium,765.9930783,31/12/2016,Moderate,1990,01/09/2016,01/09/2016,University,01/09/2018,Employed,4,Male,1,1,High priority,1,92375,Married,Accumulating,1168.96875,3896.5625,2,Email,English,English,Accountant,Estate Planning,High,01/09/2016,67,satisfied,0,Inactive,01/09/2018,64,107758,1250000,Utilities
49.14239329,40 to 55,81623,1969,mail,Medium,668.0746072,22/03/2017,Moderate,1139,07/02/2018,07/02/2018,University,07/02/2018,Employed,4,Male,1,1,High priority,0,118676,Married,Accumulating,1224.345,4081.15,2,Email,English,English,Accountant,Estate Planning,Very High,07/02/2018,67,satisfied,1,Active,07/02/2018,61,128076,1250000,Personal
90.66154435,30 to 40,80546,1985,none,High,769.6632507,17/10/2015,Moderate,1143,17/10/2017,17/10/2017,High School,17/10/2017,Employed,3,Male,0,1,Low priority,0,126468,Married,Accumulating,1208.19,4027.3,1,Email,Arabic,Arabic,Lawyer,Capital Acquisition,Medium,17/10/2017,67,neutral,1,Active,17/10/2017,43,107210,100000,Recreation
88.79681554,65 and over,124901,1945,email,Very High,678.6761157,13/01/2016,Aggressive,1270,14/09/2018,14/09/2018,Professional,14/09/2018,Retired,1,Female,1,0,Normal priority,0,75313,Divorced,Spending,1873.515,6245.05,0,In Person,English,English,Professor,Increase Net Worth,Very High,14/09/2018,67,very satisfied,0,Active,14/09/2018,56,215179,750000,Savings
4.370604741,55 to 65,134035,1953,none,Very High,686.542651,19/10/2015,Aggressive,1303,01/11/2017,01/11/2017,PhD,01/11/2017,Homemaker,2,Female,1,0,Normal priority,1,46727,Married,Spending,2010.525,6701.75,0,In Person,English,English,Professor,Increase Net Worth,Very High,01/11/2017,67,very satisfied,0,Active,01/11/2017,49,214319,750000,Transportaion
90.05554572,65 and over,73786,1949,none,Low,765.2705654,04/03/2014,Growth,1322,04/05/2016,04/05/2016,PhD,04/05/2016,Homemaker,1,Female,1,1,High priority,0,99542,Single,Accumulating,1106.79,3689.3,0,Teleconference,English,English,Data Scientist,Increase Net Worth,Medium,04/05/2016,67,very satisfied,0,Active,04/05/2016,44,138601,150000,Transportaion
56.67356021,65 and over,172423.75,1934,email,Very High,775.6840765,29/03/2015,Aggressive,1339,06/05/2016,06/05/2016,Professional,06/05/2018,Selfemployed,2,Male,1,0,Normal priority,0,79052,Married,Gifting,2586.35625,8621.1875,0,Video Conference,English,English,Software Developer,Retirement Planning,Very High,06/05/2016,67,very dissatisfied,0,Inactive,06/05/2018,6,245092,1250000,Uncategorized
65.07516862,55 to 65,84929,1956,none,Low,695.6682831,06/08/2015,Growth,1352,23/06/2018,23/06/2018,PhD,23/06/2018,Homemaker,1,Female,1,1,High priority,0,139492,Single,Accumulating,1273.935,4246.45,0,Teleconference,English,English,Data Scientist,Increase Net Worth,High,23/06/2018,67,very satisfied,0,Active,23/06/2018,73,146235,150000,Health
1.252805858,23 to 30,114583.75,1989,email,High,694.8345054,09/10/2016,Moderate,1618,14/08/2016,14/08/2016,High School,14/08/2018,Unemployed,2,Female,1,1,Low priority,1,133306,Divorced,Accumulating,1718.75625,5729.1875,1,Email,English,English,Lawyer,Capital Acquisition,Very High,14/08/2016,67,neutral,0,Inactive,14/08/2018,61,115934,100000,Recreation
77.00601603,65 and over,99616,1949,mail,Low,665.5572674,09/02/2015,Growth,1650,24/08/2016,24/08/2016,PhD,24/08/2016,Retired,1,Female,0,1,High priority,0,101692,Divorced,Accumulating,1494.24,4980.8,0,In Person,Arabic,Arabic,Professor,Increase Net Worth,Very High,24/08/2016,67,very satisfied,1,Active,24/08/2016,34,179061,180000,Transportaion
58.08491306,30 to 40,103052,1979,mail,Medium,790.763794,07/06/2016,Growth,1699,16/06/2017,16/06/2017,College,16/06/2017,Employed,3,Male,1,1,High priority,1,80046,Married,Accumulating,1545.78,5152.6,1,Email,English,English,Physician,Capital Acquisition,High,16/06/2017,67,satisfied,1,Active,16/06/2017,1,141565,1250000,Housing
65.16106791,40 to 55,75107,1964,phone,Medium,651.5327279,05/02/2014,Growth,1903,21/07/2016,21/07/2016,University,21/07/2016,Homemaker,4,Female,1,1,High priority,1,106330,Married,Accumulating,1126.605,3755.35,2,Teleconference,English,English,Data Scientist,Estate Planning,Very Low,21/07/2016,67,satisfied,1,Active,21/07/2016,47,129645,1250000,Utilities
90.95381971,55 to 65,87284,1952,email,Low,784.3420293,14/07/2015,Growth,1265,21/05/2016,21/05/2016,PhD,21/05/2016,Retired,1,Female,1,1,High priority,0,115285,Single,Accumulating,1309.26,4364.2,0,Other,English,English,Professor,Increase Net Worth,Very Low,21/05/2016,67,very satisfied,1,Active,21/05/2016,13,159187,180000,Transportaion
46.44948052,30 to 40,71857,1985,phone,High,762.0034916,13/05/2015,Moderate,1884,20/01/2017,20/01/2017,High School,20/01/2017,Employed,3,Male,1,1,Low priority,0,61707,Married,Accumulating,1077.855,3592.85,1,Email,English,English,Lawyer,Capital Acquisition,Very High,20/01/2017,67,neutral,0,Active,20/01/2017,19,94510,300000,Recreation
47.62107035,23 to 30,128425,1990,mail,Medium,738.4149566,11/06/2016,Moderate,1975,14/07/2016,14/07/2016,High School,14/07/2018,Unemployed,2,Female,0,1,Low priority,0,68486,Divorced,Accumulating,1926.375,6421.25,1,Email,English,English,Lawyer,Capital Acquisition,High,14/07/2016,67,neutral,1,Inactive,14/07/2018,37,131047,100000,Recreation
99.59626525,65 and over,129858,1938,mail,Very High,720.1568862,20/09/2015,Aggressive,1223,13/08/2016,13/08/2016,Professional,13/08/2016,Retired,1,Female,1,0,Normal priority,0,117161,Divorced,Spending,1947.87,6492.9,0,In Person,English,English,Software Developer,Retirement Planning,Medium,13/08/2016,67,very satisfied,0,Active,13/08/2016,54,225891,1250000,Giving
2.108301705,40 to 55,110447,1967,mail,Low,761.2588419,02/01/2015,Growth,1977,06/04/2016,06/04/2016,University,06/04/2016,Employed,4,Male,1,1,High priority,1,46200,Married,Accumulating,1656.705,5522.35,2,Teleconference,Arabic,Arabic,Data Scientist,Increase Net Worth,Very Low,06/04/2016,67,very satisfied,0,Active,06/04/2016,43,173073,180000,Personal
57.31840217,40 to 55,117178,1966,phone,Low,654.2358559,02/01/2016,Growth,1157,24/07/2018,24/07/2018,University,24/07/2018,Employed,4,Male,1,1,High priority,0,49769,Married,Accumulating,1757.67,5858.9,2,Teleconference,English,English,Data Scientist,Philanthropy,Very High,24/07/2018,67,satisfied,1,Active,24/07/2018,7,177742,180000,Personal
35.36288457,55 to 65,100525,1954,none,Low,739.1069059,28/02/2016,Growth,1466,23/01/2016,23/01/2016,PhD,22/01/2018,Retired,2,Male,1,1,High priority,1,89033,Married,Accumulating,1507.875,5026.25,0,Teleconference,English,English,Data Scientist,Increase Net Worth,Very Low,23/01/2016,67,very satisfied,0,Inactive,22/01/2018,50,147542,150000,Transportaion
47.76614744,30 to 40,110266,1978,mail,Low,697.974798,12/08/2014,Growth,1718,23/04/2016,23/04/2016,College,23/04/2016,Employed,3,Male,1,1,High priority,1,67491,Married,Accumulating,1653.99,5513.3,1,Email,English,English,Accountant,Estate Planning,Low,23/04/2016,67,satisfied,0,Active,23/04/2016,4,155327,150000,Housing
12.33906022,30 to 40,112496,1980,email,Low,762.8555798,15/02/2015,Growth,1766,22/12/2017,22/12/2017,College,22/12/2017,Employed,3,Male,1,1,High priority,0,86082,Married,Accumulating,1687.44,5624.8,1,Email,Arabic,Arabic,Accountant,Estate Planning,High,22/12/2017,67,satisfied,0,Active,22/12/2017,3,154717,150000,Recreation
49.25893654,65 and over,141246,1938,email,Very High,774.6650729,17/03/2015,Aggressive,1787,10/02/2016,10/02/2016,Professional,10/02/2016,Retired,1,Female,1,0,Normal priority,1,64963,Single,Gifting,2118.69,7062.3,0,In Person,English,English,Software Developer,Retirement Planning,Very High,10/02/2016,67,very satisfied,1,Active,10/02/2016,60,239867,1250000,Giving
42.37402032,30 to 40,49226,1983,email,Very High,785.2739045,06/06/2015,Conserviti,1888,25/03/2016,25/03/2016,College,25/03/2016,Employed,3,Male,1,1,Low priority,0,61002,Married,Starting,738.39,2461.3,1,Email,English,English,Lawyer,Capital Acquisition,Very High,25/03/2016,67,neutral,0,Active,25/03/2016,18,70526,300000,Recreation
5.006556788,65 and over,122032,1937,mail,Very High,742.3504224,12/07/2016,Aggressive,1005,01/11/2017,01/11/2017,Professional,01/11/2017,Retired,1,Female,1,0,Normal priority,0,112311,Single,Spending,1830.48,6101.6,0,In Person,English,English,Professor,Increase Net Worth,Medium,01/11/2017,67,very satisfied,1,Active,01/11/2017,8,213995,1250000,Giving
46.40448283,55 to 65,117516,1956,none,Very Low,701.7882672,12/04/2016,Growth,1016,22/12/2017,22/12/2017,PhD,22/12/2017,Homemaker,1,Female,1,0,High priority,0,66919,Single,Accumulating,1762.74,5875.8,0,In Person,English,English,Professor,Increase Net Worth,Very High,22/12/2017,67,very satisfied,1,Active,22/12/2017,68,195244,80000,Health
73.30217428,40 to 55,126820,1967,none,Low,698.7366321,25/11/2017,Growth,1133,03/02/2018,03/02/2018,University,03/02/2018,Employed,4,Male,0,0,High priority,1,144959,Married,Accumulating,1902.3,6341,2,Teleconference,English,English,Data Scientist,Estate Planning,Medium,03/02/2018,67,satisfied,1,Active,03/02/2018,55,187232,180000,Personal
50.85389104,40 to 55,83586,1964,mail,Medium,670.4339842,12/06/2014,Growth,1808,24/06/2016,24/06/2016,University,24/06/2016,Employed,4,Female,1,1,High priority,1,114736,Married,Accumulating,1253.79,4179.3,2,Email,Arabic,Arabic,Accountant,Estate Planning,High,24/06/2016,67,satisfied,0,Active,24/06/2016,61,133986,1250000,Utilities
51.18809196,65 and over,138153,1936,email,Very High,729.9827028,24/09/2014,Aggressive,1160,10/04/2016,10/04/2016,Professional,10/04/2016,Selfemployed,1,Female,0,0,Normal priority,1,142769,Divorced,Gifting,2072.295,6907.65,0,In Person,English,English,Software Developer,Retirement Planning,Very High,10/04/2016,67,very satisfied,0,Active,10/04/2016,15,242820,1250000,Uncategorized
1.550552533,65 and over,48550,1995,none,Very High,755.4293475,05/11/2015,Conserviti,1533,13/03/2017,13/03/2017,High School,13/03/2017,Unemployed,3,Male,1,1,Low priority,1,102762,Married,Starting,728.25,2427.5,1,Email,English,English,Trades person,Education Planning,Very High,13/03/2017,67,dissatisfied,0,Active,13/03/2017,19,51159,300000,Recreation
25.52342722,65 and over,119377,1948,none,Very High,790.1892149,30/01/2015,Aggressive,1199,16/06/2017,16/06/2017,PhD,16/06/2017,Homemaker,1,Female,1,0,Normal priority,1,103065,Single,Spending,1790.655,5968.85,0,In Person,English,English,Professor,Increase Net Worth,Very Low,16/06/2017,67,very satisfied,0,Active,16/06/2017,39,202356,750000,Insurance
13.24507393,40 to 55,47546,1962,email,High,754.4080532,21/02/2015,Moderate,1212,11/02/2017,11/02/2017,University,11/02/2017,Homemaker,4,Female,1,1,High priority,1,105253,Married,Accumulating,713.19,2377.3,2,Email,English,English,Accountant,Estate Planning,Medium,11/02/2017,67,satisfied,1,Active,11/02/2017,48,93261,100000,Utilities
64.36778358,40 to 55,106414,1969,none,Low,781.5257695,30/06/2016,Growth,1417,13/06/2017,13/06/2017,College,13/06/2017,Employed,4,Male,1,1,High priority,1,139925,Married,Accumulating,1596.21,5320.7,2,Email,English,English,Accountant,Estate Planning,Very Low,13/06/2017,67,satisfied,1,Active,13/06/2017,6,158184,150000,Personal
18.75169079,40 to 55,98033,1964,email,Low,725.2012601,26/11/2015,Growth,1468,23/04/2016,23/04/2016,University,23/04/2016,Employed,4,Male,1,1,High priority,1,81935,Married,Accumulating,1470.495,4901.65,2,Teleconference,Arabic,Arabic,Data Scientist,Estate Planning,Low,23/04/2016,67,satisfied,1,Active,23/04/2016,68,153168,150000,Personal
89.77228585,23 to 30,55838,1988,phone,Very High,723.972966,13/11/2016,Conserviti,1653,04/06/2017,04/06/2017,High School,04/06/2017,Employed,3,Male,1,1,Low priority,0,68920,Married,Starting,837.57,2791.9,1,Email,English,English,Lawyer,Education Planning,Low,04/06/2017,67,neutral,1,Active,04/06/2017,2,71678,300000,Recreation
13.54104356,55 to 65,141460,1961,email,Low,667.6776094,18/04/2017,Growth,1743,14/08/2016,14/08/2016,University,14/08/2018,Employed,4,Male,1,1,High priority,0,57571,Married,Accumulating,2121.9,7073,2,Teleconference,English,English,Data Scientist,Estate Planning,Medium,14/08/2016,67,satisfied,0,Inactive,14/08/2018,44,172074,180000,Utilities
85.82881122,55 to 65,101720,1960,mail,Low,684.2782679,02/08/2015,Growth,1331,03/04/2016,03/04/2016,University,03/04/2016,Employed,4,Female,0,1,High priority,1,49220,Married,Accumulating,1525.8,5086,2,Teleconference,Arabic,Arabic,Data Scientist,Estate Planning,Low,03/04/2016,67,satisfied,1,Active,03/04/2016,15,161508,180000,Health
61.65593458,23 to 30,69658,1992,none,Very High,720.0187132,30/07/2014,Conserviti,1525,24/08/2016,24/08/2016,High School,24/08/2016,Unemployed,3,Male,1,1,Low priority,1,101955,Married,Starting,1044.87,3482.9,1,Email,English,English,Lawyer,Education Planning,Very High,24/08/2016,67,neutral,0,Active,24/08/2016,70,82169,300000,Recreation
20.3761917,30 to 40,69812,1983,mail,High,683.1757969,13/02/2016,Moderate,1561,24/07/2017,24/07/2017,College,24/07/2017,Employed,3,Male,1,1,Low priority,1,141504,Married,Accumulating,1047.18,3490.6,1,Email,Arabic,Arabic,Physician,Capital Acquisition,Very Low,24/07/2017,67,satisfied,1,Active,24/07/2017,16,100263,300000,Recreation
5.632402861,55 to 65,80559,1956,mail,Low,766.9846487,24/09/2015,Growth,1700,26/03/2016,26/03/2016,PhD,26/03/2016,Homemaker,2,Female,1,1,High priority,1,114730,Married,Accumulating,1208.385,4027.95,0,Teleconference,English,English,Data Scientist,Estate Planning,Very High,26/03/2016,67,satisfied,1,Active,26/03/2016,63,138346,150000,Health
14.57094265,65 and over,139806,1948,none,Very High,765.8180608,22/01/2017,Aggressive,1863,15/04/2018,15/04/2018,PhD,15/04/2018,Homemaker,1,Female,1,0,Normal priority,0,77378,Single,Spending,2097.09,6990.3,0,In Person,English,English,Professor,Increase Net Worth,Very High,15/04/2018,67,very satisfied,1,Active,15/04/2018,46,230450,1250000,Insurance
73.95616127,30 to 40,95989,1980,email,Medium,717.2632893,19/05/2015,Moderate,1068,17/10/2016,17/10/2016,College,17/10/2016,Employed,3,Male,1,1,Low priority,0,89885,Married,Accumulating,1439.835,4799.45,1,Email,English,English,Accountant,Estate Planning,Low,17/10/2016,67,satisfied,0,Active,17/10/2016,30,137746,1250000,Recreation
70.5154713,40 to 55,73443,1971,mail,Medium,736.8109879,27/12/2015,Moderate,1198,30/01/2017,30/01/2017,University,30/01/2017,Employed,4,Male,0,1,High priority,1,90648,Married,Accumulating,1101.645,3672.15,2,Email,English,English,Accountant,Estate Planning,High,30/01/2017,67,satisfied,1,Active,30/01/2017,4,115068,100000,Food
87.86850093,23 to 30,65098,1991,none,Very High,696.4011437,28/07/2015,Conserviti,1344,08/05/2017,08/05/2017,High School,08/05/2017,Unemployed,3,Male,1,1,Low priority,1,61086,Married,Starting,976.47,3254.9,1,Email,Arabic,Arabic,Lawyer,Education Planning,High,08/05/2017,67,neutral,1,Active,08/05/2017,67,78812,300000,Recreation
98.04587645,65 and over,94657,1937,email,Very Low,690.1486919,09/01/2015,Growth,1404,28/08/2016,28/08/2016,Professional,28/08/2016,Selfemployed,1,Female,1,1,Normal priority,1,110202,Divorced,Accumulating,1419.855,4732.85,0,In Person,English,English,Professor,Increase Net Worth,Low,28/08/2016,67,very satisfied,0,Active,28/08/2016,2,182420,80000,Giving
42.67837932,65 and over,129913,1934,phone,Very High,659.7897835,30/03/2014,Aggressive,1537,10/02/2016,10/02/2016,Professional,10/02/2016,Selfemployed,1,Female,1,0,Normal priority,1,120910,Divorced,Gifting,1948.695,6495.65,0,In Person,English,English,Software Developer,Retirement Planning,Very High,10/02/2016,67,very satisfied,0,Active,10/02/2016,47,234108,1250000,Uncategorized
62.74504208,30 to 40,49007,1985,phone,Very High,687.1799479,15/09/2015,Conserviti,1675,01/06/2017,01/06/2017,High School,01/06/2017,Employed,3,Male,1,1,Low priority,1,127930,Married,Starting,735.105,2450.35,1,Email,English,English,Lawyer,Education Planning,Very High,01/06/2017,67,neutral,1,Active,01/06/2017,3,64242,300000,Recreation
57.48525028,55 to 65,128421.25,1954,email,Low,680.1022124,14/12/2017,Growth,1924,09/06/2016,09/06/2016,PhD,09/06/2018,Homemaker,2,Male,0,1,High priority,1,76805,Married,Accumulating,1926.31875,6421.0625,0,Teleconference,English,English,Data Scientist,Increase Net Worth,Low,09/06/2016,67,very satisfied,1,Inactive,09/06/2018,2,174786,180000,Transportaion
50.76844102,40 to 55,118307,1971,mail,Low,762.1860962,11/07/2015,Growth,1165,01/08/2016,01/08/2016,College,01/08/2016,Employed,4,Male,0,1,High priority,1,76158,Married,Accumulating,1774.605,5915.35,2,Teleconference,Arabic,Arabic,Data Scientist,Estate Planning,Very High,01/08/2016,67,satisfied,0,Active,01/08/2016,16,175866,180000,Food
19.14851673,23 to 30,83028,1991,mail,High,716.1850426,22/08/2014,Moderate,1183,24/06/2016,24/06/2016,High School,24/06/2016,Unemployed,3,Male,1,1,Low priority,0,108746,Married,Accumulating,1245.42,4151.4,1,Email,English,English,Lawyer,Capital Acquisition,Medium,24/06/2016,67,neutral,0,Active,24/06/2016,31,103559,300000,Recreation
85.8567306,65 and over,129312,1947,email,Very High,694.6126711,01/10/2016,Aggressive,1378,17/01/2018,17/01/2018,PhD,17/01/2018,Retired,1,Female,0,0,Normal priority,1,130330,Single,Spending,1939.68,6465.6,0,In Person,English,English,Professor,Increase Net Worth,Very High,17/01/2018,67,very satisfied,0,Active,17/01/2018,57,218318,750000,Insurance
45.86003581,30 to 40,73503,1980,email,High,794.3205664,12/05/2016,Moderate,1500,02/01/2018,02/01/2018,College,02/01/2018,Employed,3,Male,1,1,Low priority,1,86867,Married,Accumulating,1102.545,3675.15,1,Email,Arabic,Arabic,Lawyer,Capital Acquisition,Medium,02/01/2018,67,neutral,1,Active,02/01/2018,23,101801,100000,Recreation
11.1053408,30 to 40,71003,1981,phone,High,715.3935943,21/05/2016,Moderate,1745,27/08/2018,27/08/2018,High School,27/08/2018,Employed,3,Male,1,1,Low priority,0,107599,Married,Accumulating,1065.045,3550.15,1,Email,English,English,Lawyer,Capital Acquisition,High,27/08/2018,67,neutral,0,Active,27/08/2018,27,94454,300000,Recreation
23.19973022,30 to 40,77808,1978,none,High,667.6230965,30/09/2016,Moderate,1823,30/01/2017,30/01/2017,College,30/01/2017,Employed,3,Male,1,1,Low priority,1,89595,Married,Accumulating,1167.12,3890.4,1,Email,English,English,Lawyer,Capital Acquisition,Very High,30/01/2017,67,neutral,0,Active,30/01/2017,59,105924,100000,Housing
