ASSETS,CUSTOMER_ID,FUNDS_UNDER_MANAGEMENT,TOP_SPENDING_CATEGORY
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
79001,1008,300000,Recreation
79001,1008,300000,Recreation
79001,1008,300000,Recreation
79001,1008,300000,Recreation
79001,1008,300000,Recreation
79001,1008,300000,Recreation
79001,1008,300000,Recreation
79001,1008,300000,Recreation
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
158302,1009,180000,Health
224997,1010,750000,Insurance
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
145496,1011,1250000,Housing
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
166940,1012,180000,Insurance
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
211014,1013,80000,Personal
232760,1014,1250000,Giving
232760,1014,1250000,Giving
232760,1014,1250000,Giving
232760,1014,1250000,Giving
232760,1014,1250000,Giving
232760,1014,1250000,Giving
232760,1014,1250000,Giving
232760,1014,1250000,Giving
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
172067,1015,180000,Personal
195244,1016,80000,Health
195244,1016,80000,Health
195244,1016,80000,Health
195244,1016,80000,Health
195244,1016,80000,Health
195244,1016,80000,Health
195244,1016,80000,Health
195244,1016,80000,Health
195244,1016,80000,Health
195244,1016,80000,Health
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
210427,1017,750000,Transportaion
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
130076,1018,1250000,Health
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
202591,1019,750000,Savings
167477,1020,150000,Personal
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
129599,1021,1250000,Utilities
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
58635,1022,300000,Recreation
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
71564,1023,300000,Housing
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
172328,1024,180000,Personal
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
64642,1025,300000,Recreation
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
145837,1026,150000,Personal
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
139473,1027,150000,Health
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
104685,1028,100000,Food
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
127119,1029,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
149613,1030,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
139163,1031,150000,Health
145296,1032,150000,Personal
145296,1032,150000,Personal
145296,1032,150000,Personal
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
228773,1033,1250000,Savings
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
179500,1034,180000,Transportaion
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
145989,1035,150000,Personal
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
178291,1036,80000,Insurance
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
247965,1037,1250000,Uncategorized
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
77461,1038,300000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
134770,1039,1250000,Recreation
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
120360,1040,1250000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
188022,1041,180000,Food
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
138096,1042,150000,Transportaion
85802,1043,300000,Recreation
85802,1043,300000,Recreation
85802,1043,300000,Recreation
85802,1043,300000,Recreation
85802,1043,300000,Recreation
85802,1043,300000,Recreation
85802,1043,300000,Recreation
85802,1043,300000,Recreation
85802,1043,300000,Recreation
85802,1043,300000,Recreation
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
254987,1044,1250000,Uncategorized
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
69902,1045,300000,Recreation
103816,1046,300000,Recreation
103816,1046,300000,Recreation
103816,1046,300000,Recreation
70615,1047,300000,Recreation
70615,1047,300000,Recreation
70615,1047,300000,Recreation
70615,1047,300000,Recreation
70615,1047,300000,Recreation
70615,1047,300000,Recreation
70615,1047,300000,Recreation
70615,1047,300000,Recreation
153372,1048,150000,Health
153372,1048,150000,Health
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
119199,1049,1250000,Utilities
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
196070,1050,80000,Transportaion
223108,1051,750000,Transportaion
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
113825,1052,100000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
139017,1053,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
134231,1054,1250000,Food
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
62592,1055,300000,Recreation
