ACCOUNT_ID,AMOUNT,CHANNEL_ORGANIZATION_ID,CHANNEL_PERSON_ID,CURRENCY,DESCRIPTION,FEE_AMOUNT,QUANTITY_UNITS,TRANSACTION_DATE,TRANSACTION_ID,TRANSACTION_TYPE_CODE
113678,408.11963474748944,88126,79586,USD,,160.7540400368825,661.4735279472139,1994-01-28,1068,nulla curabitur
85912,560.7405404963264,142634,141433,EUR,,62.02820260269479,900.3060145288455,2016-11-11,1069,tristique
110744,234.22714101647645,104654,58887,CAD,,711.1763451925785,788.9012442659184,1960-09-19,1070,lorem ipsum
137535,704.0383467109585,108952,137121,USD,,238.823521864495,167.6168971442456,1998-03-18,1071,condimentum suscipit
86979,671.5772883766144,143094,121412,USD,,232.84567661852174,583.7090905161488,2013-04-02,1072,tristique
111698,817.6394222181318,60866,135082,EUR,,94.203708499347,290.6007477329085,2017-03-11,1073,lorem ipsum
100401,270.59497895576857,130800,49569,EUR,,639.5487038470919,377.7190956090935,1988-05-14,1074,condimentum suscipit
45429,465.5946375877959,67575,85003,EUR,,915.5808602222531,104.78047511767707,1971-05-28,1075,ultricies
60234,706.4451636890633,95468,95139,CAD,,716.027613326625,13.420598783668117,1952-10-28,1076,semper viverra
90666,140.4439842632577,74889,53920,EUR,,45.8030901888577,9.002132324074108,1950-10-25,1077,condimentum suscipit
130116,34.788717325380055,46648,112516,USD,,478.516369864341,918.7868355078888,1998-06-20,1078,tincidunt donec
60375,747.2526184434462,105336,120165,EUR,,53.91479161187482,458.0540207492601,1977-08-01,1079,ultricies
86529,998.7134844052714,73109,90447,CAD,,381.82686836118444,285.21282532828326,1961-10-13,1080,semper viverra
144337,801.2181867610242,106329,108315,USD,,744.7164971756204,510.86337800259173,1971-10-12,1081,ultricies
130607,525.9320083714937,120161,93573,GBP,,648.3371792301994,506.65193124178853,1969-04-04,1082,tristique
75549,128.669253932845,81394,58266,GBP,,98.19606241158225,577.7867669663481,2004-09-28,1083,tristique
136682,82.07158213313632,64356,115218,EUR,,699.1760135125725,430.10071626363964,1973-03-10,1084,condimentum suscipit
109897,319.5457359393927,136994,82645,USD,,325.10389330866786,498.83124911961306,1962-04-06,1085,ultricies
83128,578.9458359335547,93080,115436,CAD,,669.586464010554,439.920323778155,1966-08-20,1086,tristique
75320,982.526379906735,84121,114782,USD,,134.18063520985447,221.65647410440997,1954-03-05,1087,tincidunt donec
92651,255.58344456831927,111985,66967,GBP,,328.17127473582354,965.5655879086123,1976-03-19,1088,condimentum suscipit
109530,705.7892884262316,112900,121425,EUR,,165.65252857332467,372.55004152714724,2012-12-30,1089,nulla curabitur
50956,16.79429261121946,140148,70172,GBP,,365.0153389292924,538.6148937100095,1953-10-10,1090,tincidunt donec
54278,344.9641450583591,69863,135987,CAD,,233.94413095373068,282.0177666679242,2002-12-06,1091,tristique
102215,909.292060028221,65554,88400,USD,,215.12367525313832,654.2130022444785,2005-10-17,1092,ultricies
120103,745.0392851279516,70228,141736,EUR,,142.92481246492423,831.2746271945863,1996-10-04,1093,tristique
123534,29.511353119658864,77719,127943,EUR,,731.5196530252821,315.67007327086816,1995-10-22,1094,nulla curabitur
108213,153.31320062949106,62266,106971,USD,,550.7411416445478,557.4298054905364,2016-04-06,1095,semper viverra
86480,49.11094613151445,85085,94126,USD,,487.0763805968513,717.9885433516445,1979-03-07,1096,tristique
101903,545.7603001872169,63648,73605,GBP,,315.99282048446184,987.3842503409237,1973-02-06,1097,tristique
63417,402.86272088424846,47220,123093,EUR,,666.0513752372799,154.32031159956838,2006-04-01,1098,nulla curabitur
105936,913.6135597325341,128173,130550,CAD,,520.9018242983981,308.8603286136653,2011-06-18,1099,nulla curabitur
134223,444.0861903715569,45376,88956,CAD,,483.9247512109826,610.9564524075982,1965-11-08,1100,ultricies
51937,58.091059858093914,60321,108572,CAD,,101.90756879536255,767.373430940572,1974-05-23,1101,nulla curabitur
50964,723.2887354918727,88061,70851,GBP,,792.5988849721983,533.585636172479,2015-04-02,1102,nulla curabitur
58105,843.1481686912143,48437,135387,CAD,,776.4076263237287,425.6034786122748,1997-08-29,1103,tincidunt donec
119107,585.0646967285267,126115,131628,CAD,,924.1926456589665,109.70903524915626,1968-08-15,1104,condimentum suscipit
97054,172.8560046576545,111282,45862,EUR,,609.5619887693498,426.6815855310156,2011-06-02,1105,condimentum suscipit
65326,998.7670846948498,122910,87084,GBP,,748.2637705049208,531.2032858804765,1961-06-01,1106,ultricies
91598,559.9935039496604,100128,131611,GBP,,944.4773506045465,721.0989893555567,1988-11-18,1107,ultricies
92592,997.7292547009398,64710,109577,GBP,,592.8864716915505,721.6277162450871,1986-08-23,1108,nulla curabitur
136889,540.2674531198007,57849,93313,CAD,,364.24624929666976,735.9058425885061,2006-03-10,1109,condimentum suscipit
87166,180.93284235025237,130589,47504,CAD,,416.90112656178866,499.07995558673247,2003-12-10,1110,tristique
124763,728.1569407799476,140724,57802,USD,,479.1376249104659,913.2138290226499,1963-10-17,1111,tristique
132280,71.17173247136223,54792,112549,USD,,580.8759404328424,84.32660087738991,1975-01-29,1112,semper viverra
85816,554.5971681655096,94869,63236,EUR,,6.092887481454885,816.9309618888176,2009-03-31,1113,ultricies
55315,625.0483992510511,110643,84828,CAD,,298.7241752775776,566.3429830139008,1954-07-12,1114,nulla curabitur
100525,618.644935386859,142559,136136,USD,,374.98839254512694,530.4809743217855,2004-12-20,1115,tristique
105806,443.50859053514154,140529,130399,CAD,,609.4513666622149,743.3522914975113,2002-12-14,1116,nulla curabitur
117310,520.6614386899174,141062,65857,CAD,,991.4795900898604,432.96728168620604,1990-11-17,1117,nulla curabitur
127094,10.076742840683965,104172,135457,EUR,,228.67886846857445,848.2529003200423,1971-04-17,1118,tincidunt donec
54371,181.99609164775427,66246,76848,USD,,576.2432664115652,105.22921203185726,1958-10-23,1119,nulla curabitur
122628,119.93633110218083,119466,74023,USD,,687.2783125372322,500.68949344657767,2005-05-18,1120,nulla curabitur
124689,526.8905101192847,70051,113613,EUR,,636.8223811784588,611.4187395157212,2007-09-12,1121,ultricies
135991,261.99523229999284,80807,59450,USD,,623.5571587742771,65.72092637286711,2003-08-11,1122,ultricies
58214,883.9752270433079,98447,92204,CAD,,330.57767479201607,766.7757983379266,1983-06-23,1123,ultricies
108385,287.23509105930185,82274,60308,CAD,,261.8129203154416,10.31905384555428,1958-10-22,1124,ultricies
50980,395.29245251738945,90255,53461,CAD,,742.4448128219337,175.92761862840706,1979-04-04,1125,condimentum suscipit
135412,372.0880792380534,48276,72408,EUR,,967.4680421922108,359.2419945961928,1992-02-19,1126,tristique
125043,808.4817719377558,114186,124247,EUR,,665.3194041506747,8.883089244789673,1954-12-18,1127,tincidunt donec
94901,938.2775450692114,65489,68905,GBP,,285.2963592909152,316.95080516698005,2016-02-09,1128,tristique
63304,127.67822303379367,69479,127909,CAD,,530.7192600264518,548.2975791998535,1954-05-10,1129,ultricies
91963,172.87418874454758,134763,65802,GBP,,8.378155854755235,784.3371632283053,1982-01-14,1130,tristique
91648,256.57070801408486,129316,81184,CAD,,621.0010596712804,767.5543783687991,1987-08-27,1131,ultricies
59243,402.9215601065398,68220,121695,USD,,361.07024811228587,405.50813695873654,1975-08-06,1132,tristique
138787,12.485923277982321,75892,121394,USD,,203.89082962619693,176.16764725021582,1991-08-29,1133,tincidunt donec
121341,585.5183710726761,100266,80182,GBP,,221.60718390566353,968.8237188096181,1993-01-19,1134,tincidunt donec
122040,679.0183902162628,130876,91465,USD,,722.2273627428873,31.747143375270397,2014-07-14,1135,ultricies
130603,902.0601069882409,76147,64265,EUR,,866.7058131155086,463.25808047286307,2010-06-23,1136,ultricies
72177,778.8451145940988,142367,107429,EUR,,4.3935894106084605,168.84255795324998,2014-09-12,1137,lorem ipsum
77946,869.6179337840779,131657,100036,CAD,,639.9432182691278,277.03580047116316,1973-12-14,1138,tincidunt donec
97006,749.8724568758678,87625,94957,GBP,,236.1125826388643,692.8264410565567,2000-08-21,1139,condimentum suscipit
84408,487.80571442026593,53541,70670,EUR,,154.9229969313653,591.6518793761011,1958-08-12,1140,ultricies
100286,121.75265624133763,112065,69126,EUR,,381.13040638784554,822.5486758617891,2010-04-21,1141,ultricies
102646,389.49795458378634,87852,112644,USD,,515.6510415815189,179.74913147762055,1983-11-24,1142,tincidunt donec
133476,770.2146156523421,143690,75816,USD,,43.271075080767936,688.4655081340865,1990-06-26,1143,semper viverra
56639,117.50015117578954,91528,141394,EUR,,595.8584433501694,584.7545099536053,1978-04-24,1144,condimentum suscipit
68096,707.6908880315063,62573,108548,CAD,,760.2114669441543,19.446073550097324,1951-05-02,1145,tincidunt donec
141870,505.7781644368854,138559,135286,EUR,,466.55305723721636,519.7591141746053,1950-11-25,1146,tincidunt donec
120318,586.8420667766401,123769,79413,EUR,,165.3108027617523,134.5145742779289,1979-04-04,1147,semper viverra
140955,877.544198385164,107107,121354,USD,,123.5854058632408,683.5678586870024,2002-08-10,1148,ultricies
121469,92.76582240784099,90600,85322,CAD,,130.67668528902493,967.3012619709843,1968-04-18,1149,tincidunt donec
47969,288.39038804434966,78915,93067,EUR,,20.960154381827316,959.9574164303128,1951-06-26,1150,nulla curabitur
126206,783.2383167304054,101154,67045,CAD,,261.81601323375975,508.46735248230243,1973-06-29,1151,condimentum suscipit
75904,701.4967891970254,87078,90997,USD,,374.92947379946105,449.38264541387764,2011-06-18,1152,semper viverra
48728,367.70044961302096,47880,136054,USD,,289.2035467246586,30.48734763558403,1989-07-01,1153,nulla curabitur
78142,253.8633157562829,45117,111692,EUR,,633.3992551101823,2.2928369961490236,1994-11-30,1154,nulla curabitur
75355,621.8831906682307,131555,45729,USD,,432.7260729320784,231.8519898785319,2010-12-05,1155,nulla curabitur
110501,56.91173968820899,141308,140846,GBP,,627.1091070961797,198.36305066930697,1972-12-25,1156,ultricies
94589,9.438220042167176,125651,69210,GBP,,511.32514269293597,703.7777515570737,1971-10-13,1157,condimentum suscipit
45620,952.0647513419658,124391,82131,CAD,,594.2225823536203,381.5140073906222,1999-07-11,1158,ultricies
122576,829.5458038847621,128731,116518,GBP,,730.9711505626522,49.04085203927406,1983-11-13,1159,nulla curabitur
144018,268.0609761850783,139266,49511,GBP,,191.54659335775276,752.2359452925962,2012-09-15,1160,tincidunt donec
54534,0.5789080161212682,94053,137180,USD,,130.61388457739397,613.647815183257,1950-11-03,1161,nulla curabitur
109138,573.2957746842999,121175,125277,EUR,,931.8261005600709,321.70914038702966,1979-10-25,1162,condimentum suscipit
82133,412.990162358816,72949,93902,EUR,,423.1493118844447,781.503109101662,2010-08-24,1163,lorem ipsum
48515,80.92166971946207,108982,97107,CAD,,876.7262490902003,565.1427906289177,1954-03-03,1164,ultricies
125425,793.745450942588,112530,60448,USD,,60.343246227389,95.7830799472531,1974-03-16,1165,ultricies
120222,116.69618532300119,139595,57910,EUR,,619.7735077877271,32.181880170791445,1963-07-17,1166,nulla curabitur
109923,24.29792286743978,65917,135330,EUR,,67.77547793417135,330.6723987725705,2009-04-15,1167,lorem ipsum
73360,768.4673301186067,81170,113067,CAD,,292.32534492743866,145.7157716065689,1954-06-09,1168,condimentum suscipit
69289,47.61510089467983,49802,55091,USD,,223.68454710973262,990.9482729133649,1951-07-24,1169,tincidunt donec
46893,824.1753536451577,108642,50719,CAD,,643.2842239597892,241.09111747209133,1985-11-19,1170,tristique
46581,339.9696559324459,51979,92818,EUR,,94.24257648867635,480.9978415166146,1970-11-27,1171,ultricies
87944,479.41209938834584,144068,119865,GBP,,642.8010091385695,661.9925348966648,1968-10-24,1172,condimentum suscipit
129552,745.3532517322166,122096,71992,USD,,913.5571171645619,496.9286516192649,1995-04-19,1173,condimentum suscipit
115302,651.4780666630795,110263,104735,USD,,955.9147543328336,790.9635138943805,1965-03-10,1174,tincidunt donec
110118,928.9767003953782,128161,68772,EUR,,551.9336611329269,955.1868858865417,1960-12-29,1175,condimentum suscipit
143364,136.2270744381029,85419,110727,EUR,,633.9133421785752,197.60569122494158,2008-04-30,1176,ultricies
46003,505.5936999006547,65269,116022,USD,,30.95807821206258,777.8370905527794,1959-05-16,1177,tristique
49178,304.59326190822105,128043,75668,GBP,,604.2276420622102,606.6595307776795,2002-10-16,1178,ultricies
67869,68.9112590650911,82977,104084,GBP,,99.16512683449069,423.6128147804273,1981-05-17,1179,tristique
90557,612.7803819451092,55850,107027,GBP,,402.1273267146874,608.4999099463635,1980-07-04,1180,condimentum suscipit
64633,363.4181784651118,123943,47378,CAD,,114.39400596258315,158.28782464154506,1984-01-14,1181,condimentum suscipit
75077,668.173886680942,98774,58033,GBP,,552.1751160357858,38.80324080049116,1964-03-31,1182,nulla curabitur
116615,840.937979692482,51190,114330,USD,,452.01886609957035,879.674696499305,1970-03-15,1183,lorem ipsum
70624,965.119217458752,92831,82577,USD,,358.0865157756114,452.1137794119828,1954-04-14,1184,ultricies
62160,486.62532142607165,97175,108469,CAD,,920.0293290753455,291.529174949561,1970-01-26,1185,ultricies
105383,419.4176001080048,82444,73299,EUR,,929.8667341527294,748.9452146629453,1999-03-25,1186,ultricies
122505,52.40825253426571,60569,96183,CAD,,430.69350454620667,774.000298234788,1957-05-26,1187,ultricies
89912,65.9404835527365,92690,92922,EUR,,469.5980988324895,601.2501738093081,1993-02-18,1188,nulla curabitur
94744,269.4479522342661,84034,116040,USD,,845.5125056861502,446.82424075304186,2000-03-17,1189,condimentum suscipit
129176,978.5689404398832,93564,134491,CAD,,187.39190359988868,240.1783319064052,1980-12-08,1190,nulla curabitur
106731,641.2631187160513,62525,95734,GBP,,331.59930023789997,34.77563126644045,2017-11-10,1191,nulla curabitur
121674,5.2774754097503935,137052,114124,GBP,,825.1964416228021,268.4593857416265,1965-08-09,1192,tincidunt donec
109532,912.5298770618117,45550,83006,CAD,,546.5632120268698,102.66289076706609,2004-06-21,1193,tincidunt donec
111641,529.7602207313878,127431,104616,GBP,,239.43597228661213,663.3385989646856,2007-08-08,1194,ultricies
87257,518.5440310886834,120607,143575,USD,,203.39677377441362,340.7390104111434,2003-12-26,1195,ultricies
127842,624.3845566625392,102884,67502,USD,,453.94221994548076,903.3971940045261,1991-06-28,1196,nulla curabitur
121708,95.37404803818261,82135,81354,GBP,,96.95356592536858,229.67314700858037,2013-11-01,1197,condimentum suscipit
63174,770.5354481213444,79461,46159,GBP,,357.9145017492571,800.6533775751772,1985-05-07,1198,ultricies
133842,468.72372846526645,50817,124934,USD,,279.759029694886,441.432413324153,1970-08-02,1199,lorem ipsum
53640,346.65511640800895,79609,95521,GBP,,637.0739256225567,676.5767133385995,1992-04-19,1200,tincidunt donec
74377,12.892727632113766,85872,63890,GBP,,655.4231629459781,248.402552997174,1975-08-05,1201,tincidunt donec
73275,237.9194663315911,75645,136185,EUR,,478.30902240270433,124.83974654244939,1963-06-07,1202,nulla curabitur
47348,12.14346254362533,72155,47985,USD,,275.27929278400666,321.001454209492,1993-04-14,1203,lorem ipsum
50523,462.4555687054547,108174,95808,EUR,,260.6578558653905,14.302929670939617,1973-11-21,1204,tincidunt donec
70623,405.9307639523574,91868,113685,USD,,566.1750860933826,546.1201036665913,1950-05-17,1205,nulla curabitur
131660,828.6842502124916,97349,72988,USD,,99.36427001350862,875.9567762336146,1980-08-30,1206,condimentum suscipit
51385,639.7315071049894,64835,95957,USD,,137.62134078368783,622.8002337139826,1985-11-28,1207,nulla curabitur
140495,713.4476135494718,144013,139892,CAD,,475.3539294691252,437.80893149429005,2001-08-16,1208,tristique
113455,140.80629591486644,133963,116368,USD,,56.73632341989259,327.8247375140464,2009-04-30,1209,tristique
72631,191.67832179804083,58048,84137,GBP,,687.3886368791848,384.07296525387903,2001-05-05,1210,ultricies
75182,133.5047242932596,134305,60898,GBP,,733.603327287231,321.6798412068994,1985-12-05,1211,condimentum suscipit
47229,75.81935623502544,59527,100839,GBP,,844.0382706396376,48.7612877476656,1964-12-20,1212,condimentum suscipit
89356,812.8739999945057,84823,143178,CAD,,856.9279893578683,199.03398727974363,2012-09-03,1213,lorem ipsum
97892,888.5799583293094,111562,140950,CAD,,66.67369346245208,139.90040848447939,1984-07-22,1214,tristique
56063,801.5862548597288,130350,46186,EUR,,849.1904927326464,550.2722753369359,1978-12-08,1215,tincidunt donec
60958,963.8493013099421,52242,68355,EUR,,547.0934482424047,718.0514470984542,1972-02-10,1216,semper viverra
71938,352.9958621450038,58943,143656,USD,,293.3652768282577,937.6911811053199,1981-09-11,1217,nulla curabitur
96591,812.4206146335857,141209,105197,USD,,215.64696834626972,907.2891464066756,2016-04-12,1218,ultricies
60365,469.6617328429519,135954,45009,CAD,,533.3600034551895,772.0379061349902,1958-07-25,1219,ultricies
91251,972.6419068136955,90271,131523,GBP,,31.735796747423862,713.9842168882901,2012-11-27,1220,ultricies
117765,448.50210452456844,120694,85833,GBP,,620.6199208606423,960.619692598226,2006-08-05,1221,lorem ipsum
54239,681.6211164177779,105065,92458,CAD,,695.7832275283613,869.9221963029385,1959-05-01,1222,tristique
74099,216.2975168022742,104773,98539,GBP,,951.1374228811801,325.3935903083616,1953-06-21,1223,semper viverra
61486,924.9036297869749,139261,134452,EUR,,47.10158198267485,985.3524100808825,1993-06-18,1224,tincidunt donec
104267,319.76675867058566,79161,94391,EUR,,502.8656650655648,610.6099983397368,1993-08-22,1225,condimentum suscipit
134981,433.33433384732,142543,87154,EUR,,970.882145321076,830.9074567513042,2015-09-19,1226,tristique
80640,930.6603290799038,94352,109279,USD,,13.884959328640969,393.63999602570834,1983-02-26,1227,ultricies
123929,363.5094684385085,61273,99814,EUR,,420.3318989724944,357.2288735535599,2011-09-28,1228,condimentum suscipit
128913,986.6147002521478,137018,61414,EUR,,49.518304972760326,399.5535438033873,2011-11-13,1229,semper viverra
110331,184.48237941333667,129165,45056,USD,,109.86539016262736,123.23077375268888,1959-05-06,1230,ultricies
114557,815.7775918858443,81268,81544,CAD,,59.34505460573177,738.9471391859563,1951-07-04,1231,nulla curabitur
58520,73.29698962546108,49546,135481,CAD,,713.261554156176,284.59158164280035,2004-09-11,1232,tincidunt donec
101232,21.482565910496866,132268,64752,CAD,,848.8969161399142,939.9811169071887,1977-02-05,1233,nulla curabitur
59336,424.03053745719825,125369,65336,EUR,,833.7146519750205,291.24077950137,1976-02-16,1234,condimentum suscipit
74684,298.7500581604398,124082,88411,CAD,,602.980491590921,243.26429378261162,2002-04-11,1235,lorem ipsum
138051,928.6925581367261,123236,77238,EUR,,16.431290456527712,851.8594525323431,1955-11-29,1236,condimentum suscipit
92731,76.82587043364336,76316,86715,USD,,811.7592811171963,657.5642438401873,1997-03-08,1237,tincidunt donec
138098,229.96992998951137,104108,140824,USD,,785.2591926482386,486.6368589035287,1985-12-22,1238,nulla curabitur
135170,36.96256140803123,109053,124382,GBP,,454.86156218940596,453.4895871576531,1952-10-26,1239,lorem ipsum
115744,359.9484689249352,136783,69562,EUR,,939.7004791494705,416.2947517258633,2000-01-26,1240,condimentum suscipit
61781,64.42223780449244,58779,76038,USD,,811.9274655316158,55.15571675063411,2016-08-17,1241,nulla curabitur
95789,606.755879174746,125554,117656,GBP,,165.90515926745013,947.3312583137723,2002-08-07,1242,nulla curabitur
132099,447.9637349630393,63256,86664,USD,,911.896931090566,28.869719193213896,1956-01-04,1243,nulla curabitur
78403,926.0402971389664,131124,144958,GBP,,723.1990642431463,222.4540779086198,1972-12-23,1244,lorem ipsum
53701,485.4769984710198,63198,87917,USD,,901.7889574479127,447.5989320719727,2002-11-15,1245,tristique
116910,571.8441306214364,53309,104083,CAD,,408.4869214082001,492.89191454643645,1978-08-04,1246,tristique
133830,285.30902436398617,71665,62952,GBP,,583.7854255480497,711.2757299033191,1999-12-22,1247,lorem ipsum
74624,866.5709701835099,74381,144336,USD,,324.20035175315473,736.8894502810948,1998-03-23,1248,tristique
100695,229.529335313993,67731,105335,CAD,,381.2932399077804,191.50011303624325,1970-02-02,1249,tristique
64889,522.3617961551788,79611,89273,CAD,,396.91897345177625,794.0192096564472,2005-08-13,1250,condimentum suscipit
76738,677.7015208632663,86273,55790,GBP,,914.0144681888197,681.3588477661054,2000-02-01,1251,tristique
