RANK_ORDER,CODE,CODE_TYPE,TRANSLATED_CODE_LABEL,TRANSLATED_DESCRIPTION,LANGUAGE,EFFECTIVE_DATE
60,UNKNOWN,DRIVING_LICENSE_STATUS,Unknown,,English,2017-10-31
10,NONE,EDUCATION_LEVEL,None,,English,2017-10-31
20,GR6,EDUCATION_LEVEL,Grade 6 or less,,English,2017-10-31
30,GR8,EDUCATION_LEVEL,Grade 8,,English,2017-10-31
40,GR12,EDUCATION_LEVEL,Secondary School Diploma,,English,2017-10-31
50,TRADES,EDUCATION_LEVEL,Skilled Trades Apprenticeship,,English,2017-10-31
60,BACH,EDUCATION_LEVEL,Bachelor's Degree,,English,2017-10-31
70,MAST,EDUCATION_LEVEL,Master's Degree,,English,2017-10-31
80,DOC,EDUCATION_LEVEL,Ph. D. / M.D. / J.D.,,English,2017-10-31
90,PROF,EDUCATION_LEVEL,Professional Degree,,English,2017-10-31
10,FULL,EMPLOYMENT_STATUS,Full Time Employee,,English,2017-10-31
20,PART ,EMPLOYMENT_STATUS,Part Time Employee,,English,2017-10-31
30,SELF,EMPLOYMENT_STATUS,Self-Employed,,English,2017-10-31
40,STUD,EMPLOYMENT_STATUS,Student,,English,2017-10-31
50,RETIRED,EMPLOYMENT_STATUS,Retired,,English,2017-10-31
60,DISABLED,EMPLOYMENT_STATUS,Disabled,,English,2017-10-31
70,UNEMP,EMPLOYMENT_STATUS,Unemployed,,English,2017-10-31
80,OTHER,EMPLOYMENT_STATUS,Other,,English,2017-10-31
1000,CASH,FINANCIAL_ASSET_TYPE,Cash,,English,2017-10-31
1100,FCASH,FINANCIAL_ASSET_TYPE,Foreign Cash,,English,2017-10-31
2000,BONDS,FINANCIAL_ASSET_TYPE,Bonds,,English,2017-10-31
2100,GIC,FINANCIAL_ASSET_TYPE,GIC,,English,2017-10-31
2200,STOCKS,FINANCIAL_ASSET_TYPE,Stocks,,English,2017-10-31
2300,ETF,FINANCIAL_ASSET_TYPE,ETF,,English,2017-10-31
2400,MFUNDS,FINANCIAL_ASSET_TYPE,Mutual Funds,,English,2017-10-31
2500,REIT,FINANCIAL_ASSET_TYPE,REIT,,English,2017-10-31
2600,ABSMBS,FINANCIAL_ASSET_TYPE,Asset and Mortgage Backed Securities,,English,2017-10-31
3000,DER,FINANCIAL_ASSET_TYPE,Derivatives,,English,2017-10-31
4000,COMM,FINANCIAL_ASSET_TYPE,Commodities,,English,2017-10-31
5000,PPLCMNTS,FINANCIAL_ASSET_TYPE,Private Placements,,English,2017-10-31
6000,LOANS,FINANCIAL_ASSET_TYPE,Loans,,English,2017-10-31
6100,REVOLVER,FINANCIAL_ASSET_TYPE,Revolvers,,English,2017-10-31
6200,MRTG,FINANCIAL_ASSET_TYPE,Mortgages,,English,2017-10-31
1,1M,FORECAST_HORIZON,One Month,,English,2017-10-31
2,2M,FORECAST_HORIZON,Two Months,,English,2017-10-31
3,3M,FORECAST_HORIZON,Three Months,,English,2017-10-31
4,4M,FORECAST_HORIZON,Four Months,,English,2017-10-31
5,5M,FORECAST_HORIZON,Five Months,,English,2017-10-31
6,6M,FORECAST_HORIZON,Six Months,,English,2017-10-31
9,9M,FORECAST_HORIZON,Nine Months,,English,2017-10-31
12,1Y,FORECAST_HORIZON,One Year,,English,2017-10-31
24,2Y,FORECAST_HORIZON,Two Years,,English,2017-10-31
1,ANNUAL,FREQUENCY,Annually,,English,2017-10-31
4,QUARTER,FREQUENCY,Quarterly,,English,2017-10-31
12,MONTH,FREQUENCY,Monthly,,English,2017-10-31
24,SEMIMONTH,FREQUENCY,Semi-Monthly,,English,2017-10-31
26,2WEEKS,FREQUENCY,Bi-Weekly,,English,2017-10-31
52,WEEK,FREQUENCY,Weekly,,English,2017-10-31
100,VHIGH,IMPORTANCE_LEVEL,Very High,,English,2017-10-31
200,HIGH,IMPORTANCE_LEVEL,High,,English,2017-10-31
300,MODERATE,IMPORTANCE_LEVEL,Moderate  ,,English,2017-10-31
400,LOW,IMPORTANCE_LEVEL,Low,,English,2017-10-31
500,VLOW,IMPORTANCE_LEVEL,Very Low,,English,2017-10-31
1,OWN,INDEPENDENCE_CATEGORY_CODE,Own Organization,,English,2017-10-31
2,IND,INDEPENDENCE_CATEGORY_CODE,Independent,,English,2017-10-31
3,AFF,INDEPENDENCE_CATEGORY_CODE,Affiliated,,English,2017-10-31
100,VHIGH,INTENSITY,Very High,,English,2017-10-31
200,HIGH,INTENSITY,High,,English,2017-10-31
300,MODERATE,INTENSITY,Moderate  ,,English,2017-10-31
400,LOW,INTENSITY,Low,,English,2017-10-31
500,VLOW,INTENSITY,Very Low,,English,2017-10-31
1000,SECURITY,INVESTMENT_OBJECTIVE,Security,,English,2018-02-02
2000,PLANNING,INVESTMENT_OBJECTIVE,Planning,,English,2018-02-02
3000,SECGROWTH,INVESTMENT_OBJECTIVE,Secure Growth,,English,2018-02-02
4000,GROWTH,INVESTMENT_OBJECTIVE,Growth,,English,2018-02-02
5000,INCOME,INVESTMENT_OBJECTIVE,Income,,English,2018-02-02
1,2YEARS,LIMIT_PERIODICITY,Two Years,,English,2017-10-31
4,1YEAR,LIMIT_PERIODICITY,One Year,,English,2017-10-31
12,QUARTER,LIMIT_PERIODICITY,One Quarter,,English,2017-10-31
24,MONTH,LIMIT_PERIODICITY,One Month,,English,2017-10-31
26,2WEEKS,LIMIT_PERIODICITY,Two Weeks,,English,2017-10-31
52,WEEK,LIMIT_PERIODICITY,One Week,,English,2017-10-31
1000,AUTO,LOB,Automotive Insurance,,English,2017-10-31
2000,HOME,LOB,Home Insurance,,English,2017-10-31
3000,LIFE,LOB,Individual Life Insurance,,English,2017-10-31
4000,ANNUITIES,LOB,Annuities Business,,English,2017-10-31
1,SINGLE,MARITAL_STATUS,Never Married,,English,2017-10-31
2,COMMON,MARITAL_STATUS,Common-Law,,English,2017-10-31
3,MARRIED,MARITAL_STATUS,Married,,English,2017-10-31
4,SEPARATED,MARITAL_STATUS,Separated,,English,2017-10-31
5,DIVORCED,MARITAL_STATUS,Divorced,,English,2017-10-31
6,WIDOWED,MARITAL_STATUS,Widowed,,English,2017-10-31
7,OTHER,MARITAL_STATUS,Other,,English,2017-10-31
25,EXCELLENT,OVERALL_CODITION,EXCELLENT,,English,2017-10-31
50,GREAT,OVERALL_CODITION,GREAT,,English,2017-10-31
75,GOOD,OVERALL_CODITION,GOOD,,English,2017-10-31
100,FAIR,OVERALL_CODITION,FAIR,,English,2017-10-31
125,POOR,OVERALL_CODITION,POOR,,English,2017-10-31
150,VPOOR,OVERALL_CODITION,VPOOR,,English,2017-10-31
1,ANNUAL,PAYMENT_FREQUENCY,Annually,,English,2017-10-31
4,QUARTER,PAYMENT_FREQUENCY,Quarterly,,English,2017-10-31
12,MONTH,PAYMENT_FREQUENCY,Monthly,,English,2017-10-31
24,SEMIMONTH,PAYMENT_FREQUENCY,Semi-Monthly,,English,2017-10-31
26,2WEEKS,PAYMENT_FREQUENCY,Bi-Weekly,,English,2017-10-31
52,WEEK,PAYMENT_FREQUENCY,Weekly,,English,2017-10-31
1000,HIGH,RISK_TOLERANCE,High,,English,2018-02-02
2000,MEDIUM,RISK_TOLERANCE,Medium,,English,2018-02-02
3000,LOW,RISK_TOLERANCE,Low,,English,2018-02-02
4000,VLOW,RISK_TOLERANCE,Very Low,,English,2018-02-02
1000,PRIVATE,ROAD_CODE,private,,English,2017-10-31
2000,GRAVEL,ROAD_CODE,gravel,,English,2017-10-31
3000,PAVED,ROAD_CODE,paved,,English,2017-10-31
4000,LOW,ROAD_CODE,paved low speed,,English,2017-10-31
5000,HIGH,ROAD_CODE,paved high speed,,English,2017-10-31
6000,DIVIDED,ROAD_CODE,divided,,English,2017-10-31
1000,EXC,ROAD_CONDITION_CODE,excellent,,English,2017-10-31
2000,FAR,ROAD_CONDITION_CODE,fair,,English,2017-10-31
3000,NOT,ROAD_CONDITION_CODE,hot,,English,2017-10-31
4000,WET,ROAD_CONDITION_CODE,wet,,English,2017-10-31
5000,POT,ROAD_CONDITION_CODE,pot-holes,,English,2017-10-31
6000,SNO,ROAD_CONDITION_CODE,snow-covered,,English,2017-10-31
7000,SLI,ROAD_CONDITION_CODE,slippery,,English,2017-10-31
8000,ICY,ROAD_CONDITION_CODE,icy,,English,2017-10-31
1000,ATTITUDE,SCORE_CODE,customer's attitude toward the firm,A sentiment or attitude score; typically for a person.,English,2017-10-31
2000,CHURN,SCORE_CODE,likelihood of churn,,English,2017-10-31
3000,PARTIAL CHURN,SCORE_CODE,likelihood of churn on one policy / account / product,,English,2017-10-31
4000,LAPSE,SCORE_CODE,likelihood of lapse,,English,2017-10-31
5000,SURRENDER,SCORE_CODE,likelihood of surrender,,English,2017-10-31
6000,PRODUCTXSELL,SCORE_CODE,likelihood of need,,English,2017-10-31
7000,OCCUR,SCORE_CODE,likelihood of occurrence,,English,2017-10-31
8000,RENEWAL,SCORE_CODE,likelihood of reneal,,English,2017-10-31
9000,UPSELL,SCORE_CODE,likelihood of need,,English,2017-10-31
10000,PROPENSITY,SCORE_VALUE_CODE,a number between 0 and 1 showing the propensity of the event indicated by SCORE_CODE to occur,,English,2017-10-31
20000,RANK,SCORE_VALUE_CODE,a ranking or numeric ordinal showing the order or class,,English,2017-10-31
30000,LIKELIHOOD,SCORE_VALUE_CODE,a probability,,English,2017-10-31
1000,CANCELLED,STATUS,cancelled,,English,2017-10-31
2000,ACTIVE,STATUS,active,,English,2017-10-31
3000,ALIVE,STATUS,living,,English,2017-10-31
4000,PENDING,STATUS,pending,,English,2017-10-31
5000,NOREN,STATUS,will not renew,,English,2017-10-31
6000,CLOSED,STATUS,closed,,English,2017-10-31
1000,VLIGHT,TRAFFIC_CONDITION_CODE,very light,,English,2017-10-31
2000,LIGHT,TRAFFIC_CONDITION_CODE,lighter than normal,,English,2017-10-31
3000,NORM,TRAFFIC_CONDITION_CODE,normal,,English,2017-10-31
4000,HEAVY,TRAFFIC_CONDITION_CODE,heavier than normal,,English,2017-10-31
5000,VHEAVY,TRAFFIC_CONDITION_CODE,very heavy,,English,2017-10-31
6000,SG,TRAFFIC_CONDITION_CODE,stop-and-go,,English,2017-10-31
7000,STOPPED,TRAFFIC_CONDITION_CODE,stopped,,English,2017-10-31
8000,CLOSED,TRAFFIC_CONDITION_CODE,road closed,,English,2017-10-31
1,BUY,TRANSACTION_TYPE_CODE,Buy,,English,2017-10-31
2,DEPOSIT,TRANSACTION_TYPE_CODE,Deposit,,English,2017-10-31
3,TRANSFER,TRANSACTION_TYPE_CODE,Transfer,,English,2017-10-31
4,SELL,TRANSACTION_TYPE_CODE,Sell,,English,2017-10-31
5,WITHDRAW,TRANSACTION_TYPE_CODE,Withdraw,,English,2017-10-31
1000,HOT,WEATHER_CONDITION_CODE,hot,,English,2017-10-31
2000,RAIN,WEATHER_CONDITION_CODE,raining,,English,2017-10-31
3000,SNOW,WEATHER_CONDITION_CODE,snowing,,English,2017-10-31
4000,SLEET,WEATHER_CONDITION_CODE,sleeting,,English,2017-10-31
5000,HAIL,WEATHER_CONDITION_CODE,hail,,English,2017-10-31
6000,WIND,WEATHER_CONDITION_CODE,high winds,,English,2017-10-31
7000,EMERG,WEATHER_CONDITION_CODE,emergency conditions,,English,2017-10-31
