ACTIVITY_FEES,COMMUNICATIONS_AND_IT_EXPENSE,CUSTOMER_ID,END_DATE,INTEREST_EXPENSE,INTEREST_INCOME,LAST_CUSTOMER_REPLIED_TO_OFFER_INDICATOR,LAST_CUSTOMER_REPLY_TIME,LAST_INBOUND_COMMUNICATION_DATE,LAST_INBOUND_COMMUNICATION_ID,LAST_OUTBOUND_COMMUNICATION_DATE,LAST_OUTBOUND_COMMUNICATION_ID,LAST_PRODUCT_OFFER_CAMPAIGN,LAST_PRODUCT_OFFER_DATE,MANAGEMENT_FEES,OTHER_NON_INTEREST_EXPENSE,OTHER_NON_INTEREST_INCOME,PRODUCT_ID,PRODUCT_OFFERED_INDICATOR,PRODUCT_OWNED_INDICATOR,SENTIMENT_SCORE,START_DATE,STATUS,STATUS_DATE,STATUS_REASON,WAIVED_FEES,WAIVED_INTEREST_EXPENSE,WAIVED_INTEREST_INCOME,WAIVED_NON_INTEREST_EXPENSE, ,  
44497.84368,95.35012812,1006,31/08/2017,464.4007265,805.4769132,TRUE,5,03/08/2017,56825,03/08/2017,132984,More Generous Investing,03/08/2017,193.1860345,129.7510568,958.1805999,RetirementPlan,TRUE,TRUE,1,01/08/2017,Active,03/08/2017,Active Client,0,576.7187779,315.3372968,733.1199981,,
44497.84368,854.4572551,1006,31/08/2017,634.9630069,388.7240053,TRUE,141,,87052,,123455,,10/09/2018,93.00520969,947.2425972,570.258451,ManagedPortfolio,TRUE,FALSE,2,01/08/2017,Inactive,03/08/2017,Inactive Client,0,761.6524412,707.3837611,540.7293402,,
154092.1273,455.3229354,1007,31/12/2016,276.0673131,182.1631157,TRUE,122,23/12/2016,66550,23/12/2016,79863,Now Prove It,23/12/2016,438.8106997,470.4656547,197.5790827,Brokerage,TRUE,TRUE,5,01/12/2016,Active,23/12/2016,Active Client,0,821.8790738,788.9141406,641.3471694,,
154092.1273,42.66095179,1007,31/12/2016,145.6506856,388.9812281,FALSE,0,,77133,,77813,,03/12/2017,561.717041,615.965741,28.61345592,Savings,TRUE,FALSE,2,01/12/2016,Inactive,23/12/2016,Inactive Client,0,119.4321896,432.9971572,12.84482599,,
154092.1273,360.2500368,1007,31/12/2016,855.8166669,790.5495314,TRUE,82,23/12/2016,52883,23/12/2016,104479,More Generous Investing,23/12/2016,665.7684667,172.3509909,453.8650223,FinancialPlan,TRUE,TRUE,2,01/12/2016,Active,23/12/2016,Active Client,0,514.4372498,755.6896451,490.0290873,,
154092.1273,403.4304809,1007,31/12/2016,598.2357235,579.7698649,TRUE,132,23/12/2016,48033,23/12/2016,65558,The Best Things in Life Are Not Fees,23/12/2016,723.9123776,274.3407952,574.6541253,RetirementBrokerage,TRUE,TRUE,4,01/12/2016,Active,23/12/2016,Active Client,0,860.6974559,700.5947684,439.5412095,,
154092.1273,745.9584863,1007,31/12/2016,456.0349394,232.6826875,TRUE,23,23/12/2016,95288,23/12/2016,85749,Wealth Comes in Many Forms,23/12/2016,24.85590831,637.3084359,352.7789373,RetirementPlan,TRUE,TRUE,5,01/12/2016,Active,23/12/2016,Active Client,0,926.0271081,290.5383424,877.3605692,,
24225.11997,367.5625326,1008,28/02/2018,439.9847582,471.1159068,TRUE,53,03/02/2018,48576,03/02/2018,121511,Now Prove It,03/02/2018,390.1518738,385.2345632,900.8853404,FinancialPlan,TRUE,TRUE,0,01/02/2018,Active,03/02/2018,Active Client,0,60.39061645,559.7776088,392.3123871,,
24225.11997,736.1430136,1008,28/02/2018,191.1045038,63.81186453,TRUE,136,,84175,,45389,,11/03/2018,237.4483704,313.1831762,734.0576422,RetirementBrokerage,TRUE,FALSE,3,01/02/2018,Inactive,03/02/2018,Inactive Client,0,190.560065,989.7228918,278.4630282,,
24225.11997,945.7705963,1008,28/02/2018,111.889057,870.3306518,TRUE,19,03/02/2018,51521,03/02/2018,127224,More Generous Investing,03/02/2018,349.1832008,502.7504347,202.3510705,RetirementPlan,TRUE,TRUE,1,01/02/2018,Active,03/02/2018,Active Client,0,512.7653156,290.3764239,774.7747866,,
24225.11997,406.5515601,1008,28/02/2018,470.2173877,757.2342642,TRUE,31,03/02/2018,123823,03/02/2018,64424,Now Prove It,03/02/2018,36.48153385,538.1165627,670.0631049,ManagedPortfolio,TRUE,TRUE,0,01/02/2018,Active,03/02/2018,Active Client,0,539.5354778,8.64200394,911.2227758,,
33027.21746,692.3433317,1009,31/07/2016,348.1870099,297.695727,TRUE,48,20/07/2016,118587,20/07/2016,128554,More Generous Investing,20/07/2016,131.8394929,85.56525505,659.8661182,FinancialPlan,TRUE,TRUE,5,01/07/2016,Active,20/07/2016,Active Client,0,573.1530509,598.395531,573.5472511,,
33027.21746,928.2361183,1009,31/07/2016,81.22246823,690.9323169,TRUE,141,20/07/2016,45221,20/07/2016,72772,A Loan With A View,20/07/2016,838.7647638,803.6885656,880.3626222,RetirementBrokerage,TRUE,TRUE,4,01/07/2016,Active,20/07/2016,Active Client,0,404.3814127,723.9820427,735.327891,,
33027.21746,222.5701461,1009,31/07/2016,783.9743721,304.4655572,TRUE,113,20/07/2016,125610,20/07/2016,56622,Wealth Comes in Many Forms,20/07/2016,959.2418435,598.2295951,609.0685129,RetirementPlan,TRUE,TRUE,1,01/07/2016,Active,20/07/2016,Active Client,0,343.6080935,318.9295071,902.8846697,,
15627.045,646.159344,1010,30/09/2018,820.9222868,517.7644278,TRUE,2,05/09/2018,68122,05/09/2018,132168,More Generous Investing,05/09/2018,410.0241002,295.9613013,351.257656,RetirementBrokerage,TRUE,TRUE,0,01/09/2018,Active,05/09/2018,Active Client,0,302.3985876,509.171985,188.1161943,,
15627.045,875.9610141,1010,30/09/2018,254.633354,288.7346999,TRUE,147,05/09/2018,50380,05/09/2018,89167,The Best Things in Life Are Not Fees,05/09/2018,657.0421501,623.8192161,160.7691666,RetirementPlan,TRUE,TRUE,2,01/09/2018,Active,05/09/2018,Active Client,0,248.8226473,756.8786326,306.6731468,,
15627.045,449.8805702,1010,30/09/2018,249.3410959,566.4671208,TRUE,19,05/09/2018,111443,05/09/2018,102233,Now Prove It,05/09/2018,778.4131541,139.3037333,742.5844962,RetirementBasic,TRUE,TRUE,5,01/09/2018,Active,05/09/2018,Active Client,0,688.3069712,730.6459249,778.1579781,,
4906.277017,54.85613737,1011,29/02/2016,230.4405108,328.4099992,TRUE,138,31/01/2016,131593,31/01/2016,141903,Now Prove It,31/01/2016,509.0270203,90.0865117,826.7419585,RetirementBrokerage,TRUE,TRUE,4,01/01/2016,Active,31/01/2016,Active Client,0,446.5008244,380.5317363,60.92183641,,
4906.277017,866.9115687,1011,29/02/2016,539.3051312,203.9152531,FALSE,0,,134264,,61120,,11/05/2018,842.3499689,813.3452258,816.5733352,RetirementPlan,TRUE,FALSE,1,01/01/2016,Inactive,31/01/2016,Inactive Client,0,582.3608193,810.3775969,478.7915766,,
30794.26907,825.3667345,1012,30/04/2016,578.9050079,842.6950745,TRUE,35,28/04/2016,118498,28/04/2016,45450,More Generous Investing,28/04/2016,479.8481956,941.1389843,184.4036387,Savings,TRUE,TRUE,3,01/04/2016,Active,28/04/2016,Active Client,0,572.3109456,601.6375307,138.9905689,,
30794.26907,609.0510028,1012,30/04/2016,9.514770657,742.0319771,FALSE,0,,111274,,65816,,19/05/2017,546.760339,73.06043845,102.0244216,Education,TRUE,FALSE,1,01/04/2016,Inactive,28/04/2016,Inactive Client,0,864.5801178,21.36479894,752.1135683,,
30794.26907,212.9028495,1012,30/04/2016,377.7065392,351.1050714,FALSE,0,,129827,,95760,,04/11/2016,585.4814092,937.9216386,93.04981248,FinancialPlan,TRUE,FALSE,1,01/04/2016,Inactive,28/04/2016,Inactive Client,0,197.0262405,984.3147487,459.108606,,
30794.26907,664.1484543,1012,30/04/2016,816.4723047,511.8394104,TRUE,78,28/04/2016,89005,28/04/2016,141215,More Generous Investing,28/04/2016,483.1143368,814.3050998,332.2194635,ManagedPortfolio,TRUE,TRUE,4,01/04/2016,Active,28/04/2016,Active Client,0,57.72096456,497.3937225,979.8156576,,
101049.877,283.4566531,1013,30/06/2017,122.9679305,455.2575419,TRUE,47,12/06/2017,142028,12/06/2017,86037,Now Prove It,12/06/2017,845.6112983,403.6543616,714.9955616,FinancialPlan,TRUE,TRUE,0,01/06/2017,Active,12/06/2017,Active Client,0,699.4155997,728.9456004,676.2122027,,
101049.877,59.95939898,1013,30/06/2017,491.1767869,331.6481386,TRUE,147,,104832,,72027,,22/05/2018,450.9037197,695.0984814,480.4161671,RetirementBrokerage,TRUE,FALSE,2,01/06/2017,Inactive,12/06/2017,Inactive Client,0,53.34376963,411.6263911,155.7848306,,
101049.877,775.5971561,1013,30/06/2017,967.3155479,278.9727761,TRUE,38,12/06/2017,84518,12/06/2017,46001,Wealth Comes in Many Forms,12/06/2017,552.6736698,735.9893345,975.4165964,RetirementPlan,TRUE,TRUE,1,01/06/2017,Active,12/06/2017,Active Client,0,876.4536032,906.3614989,328.9671899,,
101049.877,773.4313576,1013,30/06/2017,369.7997626,27.13974298,TRUE,59,12/06/2017,58076,12/06/2017,118353,Wealth Comes in Many Forms,12/06/2017,101.6730558,250.2923421,527.9740878,ManagedPortfolio,TRUE,TRUE,0,01/06/2017,Active,12/06/2017,Active Client,0,192.7514951,803.5103732,505.930511,,
101049.877,237.1693001,1013,30/06/2017,753.5622071,531.3531937,FALSE,0,,51502,,74041,,13/06/2017,16.70987998,215.1332815,373.5095604,RetirementBasic,TRUE,FALSE,0,01/06/2017,Inactive,12/06/2017,Inactive Client,0,821.5368123,712.6625425,679.7869898,,
12674.13283,680.191739,1014,28/02/2018,267.1839769,359.8573084,TRUE,45,07/02/2018,131996,07/02/2018,134890,More Generous Investing,07/02/2018,603.2414272,544.1995023,601.7592615,RetirementBrokerage,TRUE,TRUE,3,01/02/2018,Active,07/02/2018,Active Client,0,311.6569968,635.270632,743.5672121,,
12674.13283,229.6640674,1014,28/02/2018,262.3945785,579.9249512,TRUE,51,07/02/2018,50245,07/02/2018,91725,Now Prove It,07/02/2018,829.434852,507.4887796,396.4485734,RetirementPlan,TRUE,TRUE,4,01/02/2018,Active,07/02/2018,Active Client,0,888.2611157,992.2311052,943.2741384,,
12674.13283,390.0739725,1014,28/02/2018,581.4633114,45.65398546,FALSE,0,,74426,,52297,,12/08/2018,490.6716377,122.5005469,348.6182908,ManagedPortfolio,TRUE,FALSE,4,01/02/2018,Inactive,07/02/2018,Inactive Client,0,774.5902354,314.8950359,427.1915524,,
12674.13283,79.89319006,1014,28/02/2018,890.6270103,137.8675362,TRUE,138,07/02/2018,137780,07/02/2018,113967,Wealth Comes in Many Forms,07/02/2018,27.33798487,57.33659635,795.8202872,RetirementBasic,TRUE,TRUE,5,01/02/2018,Active,07/02/2018,Active Client,0,382.3749203,408.021035,29.87892275,,
90375.0506,429.2636051,1015,31/05/2016,190.2694516,85.97680279,TRUE,114,21/05/2016,129095,21/05/2016,124256,Now Prove It,21/05/2016,280.8728649,420.8004752,719.5034507,Savings,TRUE,TRUE,0,01/05/2016,Active,21/05/2016,Active Client,0,846.5457235,238.0540534,52.36546855,,
90375.0506,552.0301144,1015,31/05/2016,874.0458658,224.5604049,TRUE,36,21/05/2016,88807,21/05/2016,85595,More Generous Investing,21/05/2016,903.4796196,101.6998665,226.0319073,RetirementBasic,TRUE,TRUE,2,01/05/2016,Active,21/05/2016,Active Client,0,541.9363006,547.3696355,238.274733,,
9878.543072,640.2320661,1016,31/12/2017,414.0466603,897.8918481,TRUE,130,,122334,,83761,,11/02/2018,500.054247,286.7079902,701.7984063,Cash,TRUE,FALSE,3,01/12/2017,Inactive,22/12/2017,Inactive Client,0,8.718543257,854.9426093,490.3490571,,
9878.543072,987.1920885,1016,31/12/2017,512.334236,11.48522158,FALSE,0,,76982,,132484,,04/09/2018,105.9944084,152.2468817,52.11588449,Brokerage,TRUE,FALSE,3,01/12/2017,Inactive,22/12/2017,Inactive Client,0,54.14020896,881.6028687,293.2491,,
9878.543072,443.1467375,1016,31/12/2017,931.6520495,796.3462605,FALSE,0,,129360,,63687,,06/03/2018,430.5820571,25.06821799,950.616045,Savings,TRUE,FALSE,1,01/12/2017,Inactive,22/12/2017,Inactive Client,0,940.7641803,11.60903673,462.726742,,
9878.543072,616.5578284,1016,31/12/2017,250.890451,982.5637766,TRUE,14,22/12/2017,108771,22/12/2017,100113,More Generous Investing,22/12/2017,842.5455229,119.1603546,604.2997298,FinancialPlan,TRUE,TRUE,4,01/12/2017,Active,22/12/2017,Active Client,0,812.3177428,698.5523102,760.1157611,,
9878.543072,855.8330241,1016,31/12/2017,436.9853346,482.5575415,FALSE,0,,92076,,69938,,11/04/2018,261.6124559,550.7897655,619.9604174,RetirementBrokerage,TRUE,FALSE,4,01/12/2017,Inactive,22/12/2017,Inactive Client,0,294.2991946,29.26454189,161.6859951,,
9878.543072,650.3356111,1016,31/12/2017,20.47661876,532.1456102,TRUE,87,22/12/2017,47002,22/12/2017,86100,Wealth Comes in Many Forms,22/12/2017,503.2406532,550.915884,582.9032125,RetirementPlan,TRUE,TRUE,0,01/12/2017,Active,22/12/2017,Active Client,0,197.5895277,100.5997475,535.8657215,,
9878.543072,289.6584252,1016,31/12/2017,937.5993487,608.0217854,TRUE,148,,143195,,139665,,09/02/2018,373.0781848,727.5271757,747.7498727,ManagedPortfolio,TRUE,FALSE,3,01/12/2017,Inactive,22/12/2017,Inactive Client,0,206.9439525,743.0151129,198.7841653,,
9878.543072,219.7436778,1016,31/12/2017,630.708273,500.3363006,TRUE,97,,127364,,84758,,25/01/2018,435.439591,989.6887627,375.2903863,RetirementBasic,TRUE,FALSE,5,01/12/2017,Inactive,22/12/2017,Inactive Client,0,696.9550721,733.0108415,890.8724601,,
31913.12071,959.9214103,1017,28/02/2018,502.9482669,30.74382026,TRUE,16,04/02/2016,102433,04/02/2016,46877,Now Prove It,04/02/2016,319.3162169,622.9483202,324.3339364,Savings,TRUE,TRUE,4,01/02/2018,Active,03/02/2018,Active Client,0,288.2122574,968.5852044,644.2402345,,
31913.12071,794.6902731,1017,28/02/2018,601.893813,427.0423765,TRUE,47,04/02/2016,96409,04/02/2016,56389,Now Prove It,04/02/2016,754.4877694,999.0189965,61.28548487,RetirementBasic,TRUE,TRUE,5,01/02/2018,Active,03/02/2018,Active Client,0,707.4952218,988.1985301,941.1360794,,
20274.16059,66.74873951,1018,31/10/2017,366.2650897,160.3959408,FALSE,0,,54343,,136793,,05/02/2018,899.3409525,409.7069427,387.6171181,Cash,TRUE,FALSE,0,01/10/2017,Inactive,17/10/2017,Inactive Client,0,849.555257,625.8756354,381.6847785,,
20274.16059,798.237107,1018,31/10/2017,145.7521542,858.6627061,FALSE,0,,142653,,75629,,16/12/2017,417.6355242,526.8586027,157.1072804,Brokerage,TRUE,FALSE,0,01/10/2017,Inactive,17/10/2017,Inactive Client,0,298.8599611,467.1343987,177.6394065,,
20274.16059,523.7719142,1018,31/10/2017,62.18764688,175.5844409,TRUE,128,17/10/2017,61743,17/10/2017,132700,Wealth Comes in Many Forms,17/10/2017,896.5552141,69.3495358,819.6649956,Savings,TRUE,TRUE,4,01/10/2017,Active,17/10/2017,Active Client,0,75.89396307,230.5275503,403.1861606,,
20274.16059,32.90108888,1018,31/10/2017,612.9491772,95.09268315,FALSE,0,,112114,,88024,,05/01/2018,225.5897339,679.3128272,225.6093305,Education,TRUE,FALSE,0,01/10/2017,Inactive,17/10/2017,Inactive Client,0,914.7526628,11.61089505,408.0326998,,
20274.16059,13.32834558,1018,31/10/2017,893.1881209,415.1356749,TRUE,42,17/10/2017,61844,17/10/2017,75409,More Generous Investing,17/10/2017,981.9564011,139.4608242,27.21086964,ManagedPortfolio,TRUE,TRUE,5,01/10/2017,Active,17/10/2017,Active Client,0,860.7157967,164.783842,719.2543224,,
20274.16059,270.2740518,1018,31/10/2017,427.010245,41.51488312,FALSE,0,,85255,,46016,,10/06/2018,373.2618021,153.1846101,684.1598485,RetirementBasic,TRUE,FALSE,5,01/10/2017,Inactive,17/10/2017,Inactive Client,0,297.3498749,854.3119874,666.474571,,
10250.92382,589.0137524,1019,29/02/2016,317.9808982,978.4052574,TRUE,45,28/02/2016,78280,28/02/2016,132646,Now Prove It,28/02/2016,566.1283866,432.5870561,955.972263,RetirementBrokerage,TRUE,TRUE,0,01/02/2016,Active,28/02/2016,Active Client,0,895.5129875,467.2763591,30.38782439,,
10250.92382,372.3257743,1019,29/02/2016,320.8829508,183.910455,FALSE,0,,58286,,87477,,29/04/2017,672.7301436,919.5209502,3.296671821,RetirementPlan,TRUE,FALSE,2,01/02/2016,Inactive,28/02/2016,Inactive Client,0,105.4033633,716.8694387,506.7889919,,
6755.42152,263.6912177,1020,30/09/2018,864.4936976,318.2550016,TRUE,18,14/09/2018,47649,14/09/2018,142749,More Generous Investing,14/09/2018,181.9476232,158.9769021,69.13679307,Cash,TRUE,TRUE,0,01/09/2018,Active,14/09/2018,Active Client,0,499.7646039,545.4876548,885.2788312,,
6755.42152,310.0641516,1020,30/09/2018,929.0668391,797.1684907,FALSE,0,,74951,,123496,,28/09/2018,824.758371,152.9912562,597.4772531,Brokerage,TRUE,FALSE,2,01/09/2018,Inactive,14/09/2018,Inactive Client,0,592.3062115,685.4548989,520.386594,,
6755.42152,580.0833677,1020,30/09/2018,792.9096576,893.1258943,TRUE,94,14/09/2018,116865,14/09/2018,89819,A Loan With A View,14/09/2018,106.1518384,376.5508695,441.8699795,Savings,TRUE,TRUE,5,01/09/2018,Active,14/09/2018,Active Client,0,709.4158543,411.1777592,378.8913439,,
6755.42152,689.226178,1020,30/09/2018,154.132544,376.0011631,TRUE,105,14/09/2018,131657,14/09/2018,60290,The Best Things in Life Are Not Fees,14/09/2018,534.4131561,302.6801564,172.5502696,Education,TRUE,TRUE,1,01/09/2018,Active,14/09/2018,Active Client,0,733.7247057,527.991178,897.3426577,,
6755.42152,602.849117,1020,30/09/2018,944.3462844,373.2354747,TRUE,82,,54776,,47235,,18/09/2018,421.2519931,438.8779313,145.7266848,FinancialPlan,TRUE,FALSE,0,01/09/2018,Inactive,14/09/2018,Inactive Client,0,385.0051333,672.553146,305.058657,,
6755.42152,496.7858714,1020,30/09/2018,75.15728299,46.0667172,FALSE,0,,129802,,138721,,15/09/2018,387.4846842,296.9959311,772.3039466,RetirementBrokerage,TRUE,FALSE,5,01/09/2018,Inactive,14/09/2018,Inactive Client,0,104.4208531,202.0234739,477.5796933,,
